ts,Tipo,DOW_name,ROI,score_oos,score_all,score_source
2025-08-20 09:50:00,FH,Qua,-1.0,0.3929170214493344,0.4110568272437537,global_fallback
2025-08-20 09:52:00,FH,Qua,-1.0,0.4009300922464845,0.4207657639094976,global_fallback
2025-08-20 10:58:00,FT,Qua,1.02,0.4097396887360502,0.41916631816395267,global_fallback
2025-08-20 11:44:00,FH,Qua,1.092,0.3908590988298484,0.40860023912683013,global_fallback
2025-08-20 13:46:00,FT,Qua,-1.0,0.4083353583665305,0.4257582266849418,global_fallback
2025-08-20 14:19:00,FT,Qua,-1.0,0.3965794475912275,0.41869270693424576,global_fallback
2025-08-20 16:09:00,FT,Qua,0.51,0.39898806690457217,0.4219093997761947,global_fallback
2025-08-20 16:31:00,FT,Qua,0.859,0.39804204801848625,0.41403270974501183,global_fallback
2025-08-20 16:58:00,FT,Qua,-1.0,0.415244194458196,0.4243410451150436,global_fallback
2025-08-20 19:55:00,FT,Qua,1.2109999999999999,0.4026455882411027,0.4129357968525345,global_fallback
2025-08-21 00:58:00,FH,Qua,-0.5,0.40018088426753196,0.4187385068940601,global_fallback
2025-08-21 01:39:00,FH,Qua,0.5800000000000001,0.3907274634653501,0.3984508029612334,global_fallback
2025-08-21 14:19:00,FH,Qui,1.17,0.38665425288750277,0.4074055050575054,global_fallback
2025-08-21 14:21:00,FH,Qui,1.0979999999999999,0.3798584488300054,0.4071839259532864,global_fallback
2025-08-21 15:13:00,FH,Qui,-1.0,0.37999021016120293,0.39045870833850294,global_fallback
2025-08-21 15:20:00,FT,Qui,-1.0,0.4070193910280328,0.4130566138255378,global_fallback
2025-08-21 15:20:00,FT,Qui,-1.0,0.40705799435702505,0.41309381048702765,global_fallback
2025-08-21 15:22:00,FH,Qui,0.98,0.611300585000093,0.6191186713034446,global_fallback
2025-08-21 16:20:00,FH,Qui,-0.5,0.386102176231192,0.3908697959049623,global_fallback
2025-08-21 17:01:00,FT,Qui,-1.0,0.397717414607029,0.41354111827981915,global_fallback
2025-08-21 17:49:00,FH,Qui,0.0,0.38415746952784535,0.3962650232122263,global_fallback
2025-08-22 10:20:00,FH,Sex,-0.5,0.3931731219841533,0.4106066112190361,global_fallback
2025-08-22 10:24:00,FH,Sex,-0.5,0.38129408830797973,0.41085927383127147,global_fallback
2025-08-22 10:30:00,FT,Sex,-1.0,0.4065395956349035,0.41947239992211766,global_fallback
2025-08-22 10:32:00,FH,Sex,0.0,0.3932740374087161,0.3992506867858128,global_fallback
2025-08-22 10:48:00,FH,Sex,-1.0,0.3938300878562671,0.39573920796320505,global_fallback
2025-08-22 11:15:00,FT,Sex,-1.0,0.3955117705763688,0.3999767224163499,global_fallback
2025-08-22 11:42:00,FH,Sex,0.6200000000000001,0.3755181574078888,0.39199285018224794,global_fallback
2025-08-22 12:19:00,FH,Sex,-0.5,0.390815352624769,0.41248946464046815,global_fallback
2025-08-22 12:20:00,FH,Sex,0.94,0.39903608934905027,0.40371140009959244,global_fallback
2025-08-22 12:22:00,FT,Sex,0.97,0.4119965681329905,0.42358414136315786,global_fallback
2025-08-22 13:07:00,FT,Sex,1.2000000000000002,0.4046284921310441,0.4127746070867808,global_fallback
2025-08-22 13:13:00,FT,Sex,0.0,0.3943165208840361,0.40165780966127707,global_fallback
2025-08-22 13:30:00,FT,Sex,-1.0,0.41295521575882466,0.4191748334188576,global_fallback
2025-08-22 13:48:00,FT,Sex,0.0,0.403805282648148,0.4098751198705286,global_fallback
2025-08-22 13:48:00,FH,Sex,0.813,0.3886953509168435,0.4092237856187446,global_fallback
2025-08-22 13:56:00,FT,Sex,0.839,0.4020098070419644,0.41751504451865035,global_fallback
2025-08-22 13:58:00,FT,Sex,-1.0,0.41278340188209584,0.42319515049251394,global_fallback
2025-08-22 14:00:00,FT,Sex,-1.0,0.41252114025342324,0.42330539870140627,global_fallback
2025-08-22 14:15:00,FH,Sex,0.0,0.37785014635886494,0.38799666025997,global_fallback
2025-08-22 14:16:00,FT,Sex,0.8999999999999999,0.37786183397300394,0.38800176151834925,global_fallback
2025-08-22 14:18:00,FT,Sex,-1.0,0.4054717128189694,0.4131371945972251,global_fallback
2025-08-23 21:47:00,FT,Sáb,0.0,0.3843651507727665,0.3915277428173426,global_fallback
2025-08-23 21:49:00,FT,Sáb,1.2040000000000002,0.40462142588673583,0.41422052972052853,global_fallback
2025-08-26 17:38:00,FT,Ter,0.0,0.37944853867522954,0.39386383313777384,global_fallback
2025-08-26 18:21:00,FH,Ter,-0.5,0.3997067326727107,0.41937715167462475,global_fallback
2025-08-26 22:39:00,FT,Ter,-1.0,0.3979579258279133,0.41455372333648166,global_fallback
2025-08-26 22:41:00,FT,Ter,1.3330000000000002,0.4001734772133748,0.41376518616902797,global_fallback
