ts,Tipo_raw,Subtipo da Aposta,Casa aposta vencedora,StakeMax_USD,Número de casas disponíveis no momento da aposta,Dif % maior odd e segunda maior,Dif % maior odd e odd mediana,Dif Odds RB & BIA,MinutesToMatchStart,TempoApostas.Tempo total bot,Result,Odds,Tipo,wd,Dia Semana Aposta (UTC),DOW_name,Turno Aposta (UTC),Dif percent maior odd e segunda maior,Dif percent maior odd e odd mediana,Dif Odds RB E BIA,ROI,score,stake,pnl
2025-12-02 04:13:00,Asian handicap,1,pin88,50.0,1.0,,0.0,-0.0047619047619046,707.0,,Void,2.1,FT,1,terça-feira,Ter,madrugada,,0.0,-0.0047619047619046,0.0,0.7736673780182363,50.0,0.0
2025-12-02 04:13:00,Asian handicap,1,pin88,50.0,1.0,,0.0,-0.0095238095238095,707.0,,Void,2.1,FT,1,terça-feira,Ter,madrugada,,0.0,-0.0095238095238095,0.0,0.7857984400808424,50.0,0.0
2025-12-02 04:13:00,Asian handicap,1,pin88,50.0,1.0,,0.0,-0.0047619047619046,707.0,,Void,2.1,FT,1,terça-feira,Ter,madrugada,,0.0,-0.0047619047619046,0.0,0.7736673780182363,50.0,0.0
2025-12-02 04:13:00,Asian handicap,1,pin88,50.0,1.0,,0.0,0.0,707.0,,Void,2.1,FT,1,terça-feira,Ter,madrugada,,0.0,0.0,0.0,0.7610581954789742,50.0,0.0
2025-12-02 04:13:00,Asian handicap,1,pin88,50.0,1.0,,0.0,-0.0047619047619046,707.0,,Void,2.1,FT,1,terça-feira,Ter,madrugada,,0.0,-0.0047619047619046,0.0,0.7736673780182363,50.0,0.0
2025-12-02 05:13:00,Asian handicap,"-0,25",sing2,661.0,8.0,0.03,0.05,0.0174418604651162,2447.0,,Win,1.72,FT,1,terça-feira,Ter,madrugada,0.03,0.05,0.0174418604651162,0.72,0.4792376441626657,661.0,475.91999999999996
2025-12-02 05:17:00,Asian handicap,"+0,25",pin88,225.0,6.0,0.05,0.09,0.0323886639676113,2503.0,,Lose,2.47,FT,1,terça-feira,Ter,madrugada,0.05,0.09,0.0323886639676113,-1.0,0.7448052158819692,225.0,-225.0
2025-12-02 05:17:00,Asian handicap,"+0,25",pin88,225.0,6.0,0.05,0.09,0.0323886639676113,2503.0,,Lose,2.47,FT,1,terça-feira,Ter,madrugada,0.05,0.09,0.0323886639676113,-1.0,0.7448052158819692,225.0,-225.0
2025-12-02 06:30:00,Asian handicap,"+0,75",pin88,75.0,2.0,0.14,0.07,0.0049019607843138,510.0,,Win,2.04,FT,1,terça-feira,Ter,manhã,0.14,0.07,0.0049019607843138,1.04,0.9331624983182104,75.0,78.0
2025-12-02 06:30:00,Asian handicap,"+0,75",pin88,75.0,2.0,0.14,0.07,0.0049019607843138,510.0,,Win,2.04,FT,1,terça-feira,Ter,manhã,0.14,0.07,0.0049019607843138,1.04,0.9331624983182104,75.0,78.0
2025-12-02 06:30:00,Asian handicap,"+0,75",pin88,75.0,2.0,0.14,0.07,0.0049019607843138,510.0,,Win,2.04,FT,1,terça-feira,Ter,manhã,0.14,0.07,0.0049019607843138,1.04,0.9331624983182104,75.0,78.0
2025-12-02 06:58:00,Asian handicap,"+0,5",bf,317.0,8.0,1.0,1.0,0.0465004793863853,722.0,,Lose,2.086,FT,1,terça-feira,Ter,manhã,1.0,1.0,0.0465004793863853,-1.0,0.9982559425652332,317.0,-317.0
2025-12-02 07:42:00,Asian handicap,0,sing2,796.0,9.0,0.03,0.08,0.0101757631822385,678.0,,Win,2.162,FT,1,terça-feira,Ter,manhã,0.03,0.08,0.0101757631822385,1.162,0.4176519385453013,796.0,924.9519999999999
2025-12-02 07:43:00,Asian handicap,0,pin88,50.0,1.0,,0.0,-0.0145631067961164,707.0,,Void,2.06,FT,1,terça-feira,Ter,manhã,,0.0,-0.0145631067961164,0.0,0.8628302402089766,50.0,0.0
2025-12-02 07:43:00,Asian handicap,0,pin88,50.0,1.0,,0.0,-0.0485436893203883,707.0,,Void,2.06,FT,1,terça-feira,Ter,manhã,,0.0,-0.0485436893203883,0.0,0.9123863647337294,50.0,0.0
2025-12-02 07:43:00,Asian handicap,0,pin88,50.0,1.0,,0.0,0.0,707.0,,Void,2.06,FT,1,terça-feira,Ter,manhã,,0.0,0.0,0.0,0.8352007058704529,50.0,0.0
2025-12-02 07:43:00,Asian handicap,0,pin88,50.0,1.0,,0.0,-0.0145631067961164,707.0,,Void,2.06,FT,1,terça-feira,Ter,manhã,,0.0,-0.0145631067961164,0.0,0.8628302402089766,50.0,0.0
2025-12-02 07:43:00,Asian handicap,0,pin88,50.0,1.0,,0.0,-0.0388349514563107,707.0,,Void,2.06,FT,1,terça-feira,Ter,manhã,,0.0,-0.0388349514563107,0.0,0.9001677871366109,50.0,0.0
2025-12-02 07:59:00,Asian handicap,-1,pin88,293.0,6.0,1.0,1.0,0.0786458333333333,661.0,,Lose,1.92,FT,1,terça-feira,Ter,manhã,1.0,1.0,0.0786458333333333,-1.0,0.998430961088696,293.0,-293.0
2025-12-02 09:17:00,Asian handicap,"+0,5",sharp,616.0,10.0,1.0,0.02,0.0374331550802139,2233.0,,Win,1.87,FT,1,terça-feira,Ter,manhã,1.0,0.02,0.0374331550802139,0.8700000000000001,0.9999970262364852,616.0,535.9200000000001
