thr,Tipo,DOW,oos_n,oos_meanROI,oos_p,dec_bets,dec_stake_sum,dec_profit_exp,dec_max_stake
0.6,FH,Sáb,23,0.010521739130434781,0.47753766710197293,11,1645.0,17.308260869565217,435.0
0.65,FT,Ter,64,0.17335937499999998,0.06461049916384176,37,12368.0,2144.10875,2996.0
0.65,FT,Qua,49,0.08713265306122449,0.2709856578825014,33,9901.0,862.7003979591836,1667.0
0.65,FT,Sáb,37,-0.0055135135135135245,0.5145632110719397,17,77831.0,-429.12227027027114,37500.0
0.65,FT,Dom,25,-0.21348,0.8732424796072328,9,33160.0,-7078.9968,15000.0
0.65,FH,Ter,30,0.3320666666666667,0.009288752460334457,17,2031.0,674.4274,278.0
0.7,FT,Ter,60,0.09925,0.1934620699395625,33,11840.0,1175.1200000000001,2996.0
0.7,FT,Qua,44,0.12976136363636362,0.19439764732488346,30,9665.0,1254.1435795454545,1667.0
0.7,FT,Sáb,34,0.00047058823529410503,0.4988277600399869,16,77152.0,36.30682352941079,37500.0
0.7,FT,Dom,25,-0.21348,0.8732424796072328,9,33160.0,-7078.9968,15000.0
0.7,FH,Ter,26,0.362076923076923,0.011320796663086595,14,1691.0,612.2720769230768,278.0
0.75,FT,Ter,55,0.08285454545454543,0.2465520220688111,32,11615.0,962.3555454545452,2996.0
0.75,FT,Qua,36,0.10990277777777775,0.25800910427851553,26,9353.0,1027.9206805555552,1667.0
0.75,FT,Sáb,33,0.015636363636363598,0.46210822307650523,16,77152.0,1206.3767272727243,37500.0
0.75,FT,Dom,24,-0.251125,0.904775524229828,8,32890.0,-8259.50125,15000.0
0.75,FH,Ter,22,0.3019090909090909,0.04450251824261062,12,1460.0,440.7872727272727,278.0
0.8,FT,Ter,48,0.18216666666666667,0.07778515339133293,27,10909.0,1987.2561666666668,2996.0
0.8,FT,Qua,32,-0.0058281249999999896,0.5129790610362535,23,8973.0,-52.29576562499991,1667.0
0.8,FT,Sáb,33,0.015636363636363598,0.46210822307650523,16,77152.0,1206.3767272727243,37500.0
0.8,FT,Dom,22,-0.1830454545454545,0.8184900349834094,8,32890.0,-6020.364999999999,15000.0
0.8,FH,Ter,20,0.18460000000000001,0.13421152476353762,11,1348.0,248.84080000000003,278.0
0.85,FT,Ter,41,0.18592682926829268,0.09301803954583412,23,10433.0,1939.7746097560976,2996.0
0.85,FT,Qua,31,-0.06988709677419355,0.6570334491725938,23,8973.0,-627.0969193548387,1667.0
0.85,FT,Sáb,32,0.04737499999999996,0.3879979012522524,15,77068.0,3651.096499999997,37500.0
0.9,FT,Ter,38,0.1765,0.11210776010013881,22,10340.0,1825.01,2996.0
0.9,FT,Qua,31,-0.06988709677419355,0.6570334491725938,23,8973.0,-627.0969193548387,1667.0
