strategy,bank_label,B,months,mean_profit,sd_profit,var_profit,min_profit,max_profit,mean_giro,min_giro,mean_roi_turnover
S1_lucro_max_diversificada,B_dec(giro5 em 2025-12),12362.028985507248,5,1091.4914536231875,4893.796017197629,23949239.457939383,-5928.480652173916,7704.841768115941,5.938329386386551,1.019388496799456,0.03971590619283118
S2_lucro_alto_banca_menor,B_dec(giro5 em 2025-12),7295.081967213116,5,999.7602655737704,3293.5495028354912,10847468.327627912,-2954.382885245903,6113.289278688525,5.961491685393258,1.008973033707865,0.036670058665965316
