q,Tipo,DOW_name,n,meanROI,folds
0.8,FT,Ter,159,0.08813640448343078,5
0.8,FT,Qua,87,0.03606249243510111,5
0.8,FT,Sex,77,0.032898608058608045,5
0.8,FT,Sáb,88,-0.049070259740259754,5
0.85,FT,Ter,144,0.10641629072681702,5
0.85,FT,Qua,80,0.01605668965021905,5
0.9,FT,Qua,71,0.05459111111111109,5
0.9,FT,Ter,105,-0.008405788177339923,5
