rule,clv_threshold,test_n,test_stake,test_profit,test_roi
CLV>=q0.75,0.02799725,288,5083.120000000001,1132.2848500000002,0.22275390901650954
CLV>=q0.8,0.044958000000000005,238,4263.040000000001,1176.4145199999998,0.2759567163338837
CLV>=q0.85,0.06823440000000001,184,3327.69,904.9319500000001,0.271939979385099
CLV>=q0.9,0.1064098999999999,124,2181.8400000000006,545.25387,0.249905524694753
