q,Tipo,DOW_name,n,meanROI,folds
0.7,FT,Ter,182,0.18156766886316758,5
0.7,FT,Qua,103,0.1531775531977601,5
0.7,FH,Sáb,72,0.14823223443223443,5
0.7,FT,Sáb,117,0.08207107843137254,4
0.8,FT,Ter,167,0.2109404627510806,5
0.8,FT,Qua,88,0.1915676118326118,5
0.8,FT,Sáb,74,0.14591490259740258,4
0.85,FT,Ter,160,0.20480029899602697,5
0.85,FT,Qua,73,0.17807919117647059,5
0.9,FT,Ter,134,0.10515729485002825,5
