cap_Ter,mean_profit,sd_profit,p_neg,mean_stake,mean_roi_turn,sharpe_ann_bank,sharpe_ann_turn
0,3081.6456595999994,2928.262563641358,0.14404,54209.02352,0.05764944950616276,3.6455520892320017,3.6045168936670926
100,3612.5059986799997,2835.8182204136574,0.09664,59245.33912,0.0629706322244781,4.412866725603025,4.391483270921194
200,3628.958495079999,2807.248525248404,0.0952,62323.16994,0.06093937731689526,4.4780791123444015,4.393511406536307
300,3555.2915056399993,2813.367416927733,0.101,64542.90782,0.05817121407660701,4.3776333559810405,4.247837076305032
400,3438.5830493799995,2819.0411889613088,0.10922,65991.68074,0.0553743418280618,4.225408675043679,4.085767369576101
500,3324.0262621399997,2825.3757180761418,0.11848,67093.79018,0.052880971926885,4.075480889062122,3.935062860637363
700,3246.986954139999,2850.4482745158775,0.12626,68530.29792,0.050725405744790744,3.946008370938758,3.807574006051483
