ts,stake,pnl,bets
2025-12-02,7279.0,1640.2559999999999,36
2025-12-09,5875.0,1565.6509999999998,31
2025-12-16,3260.0,96.9679999999999,15
2025-12-23,8867.0,6756.9529999999995,39
