ts,DOW_name,Tipo,score_raw,score_cal,StakeMax_USD,ROI
2025-08-22 12:20:00,Sex,FH,0.0688106158629747,0.0,107.0,0.94
2025-08-22 12:22:00,Sex,FT,0.3954003602691747,0.35,1072.0,0.97
2025-08-22 13:07:00,Sex,FT,0.4009701672531837,0.35,75.0,1.2000000000000002
2025-08-22 13:13:00,Sex,FT,0.3789203533153032,0.35,268.0,0.0
2025-08-22 13:30:00,Sex,FT,0.5232088394260102,0.375,400.0,-1.0
2025-08-22 13:48:00,Sex,FT,0.0407357299921688,0.0,418.0,0.0
2025-08-22 13:48:00,Sex,FH,0.3072963999269359,0.3333333333333333,148.0,0.813
2025-08-22 13:56:00,Sex,FT,0.9192978761565224,0.5,313.0,0.839
2025-08-22 13:58:00,Sex,FT,0.3659913403151907,0.35,1072.0,-1.0
2025-08-22 14:00:00,Sex,FT,0.0643405329082358,0.0,738.0,-1.0
2025-08-22 14:15:00,Sex,FH,0.286656515986786,0.09433962264150944,73.0,0.0
2025-08-22 14:16:00,Sex,FT,0.2866331534500385,0.09433962264150944,55.0,0.8999999999999999
2025-08-22 14:18:00,Sex,FT,0.3596120880220158,0.35,187.0,-1.0
2025-08-23 21:47:00,Sáb,FT,0.0976365374454215,0.0,213.0,0.0
2025-08-23 21:49:00,Sáb,FT,0.4751949996638361,0.375,450.0,1.2040000000000002
2025-08-26 17:38:00,Ter,FT,0.3449195901854482,0.3,541.0,0.0
2025-08-26 18:21:00,Ter,FH,0.4495901948510347,0.44272445820433437,105.0,-0.5
2025-08-26 22:39:00,Ter,FT,0.3802318942605913,0.3125,189.0,-1.0
2025-08-26 22:41:00,Ter,FT,0.2219549692739056,0.07479998694663714,445.0,1.3330000000000002
2025-08-27 00:07:00,Qua,FH,0.5052020868035109,0.44272445820433437,107.0,0.97
2025-08-27 09:21:00,Qua,FT,0.237685101043702,0.10529264114071096,314.0,0.98
2025-08-27 09:28:00,Qua,FT,2.2210347727027855e-118,0.0,1501.0,-1.0
2025-08-27 09:38:00,Qua,FT,0.3826470174682097,0.3125,314.0,0.8999999999999999
2025-08-27 09:39:00,Qua,FH,0.3528328021878843,0.3037159396568339,126.0,0.78
2025-08-27 09:55:00,Qua,FT,0.1508475754792506,0.010429187086592314,600.0,-1.0
2025-08-27 10:26:00,Qua,FT,0.3205534467714627,0.22458379018217578,262.0,-1.0
2025-08-27 11:08:00,Qua,FT,0.1832960754777688,0.015351484174355475,408.0,0.819
2025-08-29 09:30:00,Sex,FT,0.3910854583237274,0.35,348.0,1.234
2025-08-29 09:34:00,Sex,FT,0.423747798437387,0.375,292.0,-0.5
2025-08-29 09:35:00,Sex,FH,0.3667972194254831,0.35,108.0,0.0
2025-08-29 09:39:00,Sex,FT,0.4268037486624353,0.375,340.0,-1.0
2025-08-29 10:21:00,Sex,FH,1.0,0.5,128.0,-1.0
2025-08-29 10:22:00,Sex,FT,0.5555878807662228,0.375,600.0,-1.0
2025-08-29 10:25:00,Sex,FT,0.4222883763330273,0.375,189.0,-1.0
2025-08-29 10:26:00,Sex,FT,0.4297200799539358,0.375,189.0,0.37
2025-08-29 10:28:00,Sex,FT,0.4154138015315133,0.375,255.0,1.1110000000000002
2025-08-29 10:31:00,Sex,FT,1.0,0.5,338.0,0.0
2025-08-29 10:31:00,Sex,FT,1.0,0.5,125.0,-1.0
2025-08-29 10:47:00,Sex,FH,0.4191700688284836,0.375,157.0,-1.0
2025-08-29 10:53:00,Sex,FT,0.2932977383606179,0.09433962264150944,235.0,0.0
2025-08-29 10:55:00,Sex,FT,0.918906938405476,0.5,328.0,-1.0
2025-08-29 11:04:00,Sex,FT,0.3907632681416495,0.35,539.0,0.81
2025-08-29 11:04:00,Sex,FT,1.0,0.5,176.0,0.7090000000000001
2025-08-30 10:26:00,Sáb,FH,0.6274392150030449,0.499415849998257,148.0,1.0630000000000002
2025-08-30 10:31:00,Sáb,FH,1.0,0.5,108.0,0.91
2025-08-30 10:33:00,Sáb,FT,1.0,0.5,631.0,0.8500000000000001
2025-08-30 10:33:00,Sáb,FH,0.6252107496984094,0.48885471524992163,264.0,-1.0
2025-08-30 10:34:00,Sáb,FT,0.567973750198507,0.375,631.0,0.78
2025-08-30 10:36:00,Sáb,FT,0.4419300355320733,0.375,588.0,-1.0
2025-08-30 10:37:00,Sáb,FH,0.391086285754812,0.35,126.0,-1.0
2025-08-30 10:45:00,Sáb,FH,0.4421961540840359,0.375,126.0,-1.0
2025-08-30 11:21:00,Sáb,FH,0.4350922314847802,0.375,119.0,1.0750000000000002
2025-08-30 11:24:00,Sáb,FT,0.1564552941097186,0.0,798.0,0.839
2025-08-30 11:31:00,Sáb,FT,0.4551748983499196,0.375,460.0,-1.0
2025-08-30 11:31:00,Sáb,FT,0.4699525291647291,0.375,446.0,-1.0
2025-08-30 11:42:00,Sáb,FT,0.5807542405604531,0.375,108.0,-1.0
