strategy,months,mean_profit,sd_profit,var_profit,min_profit,max_profit,mean_B_star,min_B_star,max_B_star
S1_lucro_max_diversificada,3,-1012.2688623219614,9674.917035441587,93604019.64267783,-11421.692407407409,7704.841768115943,26985.657666429488,12362.028985507248,38077.03703703704
S2_lucro_alto_banca_menor,3,-1581.3430550844932,8926.902450558706,79689587.36179101,-11368.69813580247,6113.289278688524,17786.337495626693,7295.081967213116,24211.60493827161
