cohort,n,settled,open,void,stake_placed,stake_resolved,pnl,roi,wr,clv5_n,clv5_mean,clv5_med,clv5_pos,clv5_cov,clv15_mean,clvC_n,clvC_mean,clvC_med,clvC_pos,clvC_cov
ALL,208,158,22,18,1104.0,1040.0,-30.220000000000006,-0.029057692307692312,0.5253164556962026,66,-1.3457822760638305,-0.990487398254386,0.13636363636363635,0.3173076923076923,-1.593834319345946,62,-2.318801351767298,-1.7673795348163768,0.3064516129032258,0.2980769230769231
FRIENDLY,109,90,5,7,602.0,578.0,-15.050000000000004,-0.02603806228373703,0.5111111111111111,20,-2.6973364202318617,-2.103049937823159,0.05,0.1834862385321101,-3.307470234661328,23,-2.917064149599068,-1.7728797316722722,0.21739130434782608,0.21100917431192662
NON_FRIENDLY,99,68,17,11,502.0,462.0,-15.170000000000005,-0.03283549783549785,0.5441176470588235,46,-0.7581500394690343,-0.507658136146022,0.17391304347826086,0.46464646464646464,-0.8594189270679252,39,-1.9659797017639467,-1.7618793379604814,0.358974358974359,0.3939393939393939
stake10,86,80,0,6,860.0,860.0,-31.49000000000001,-0.03661627906976745,0.5125,23,-0.5590125859149874,-0.48076923076924016,0.21739130434782608,0.26744186046511625,-0.8959381800200753,24,-1.543016326443874,-1.3767670960830036,0.375,0.27906976744186046
stake2,122,78,22,12,244.0,180.0,1.2700000000000005,0.007055555555555558,0.5384615384615384,43,-1.7666125754457698,-1.1815252416756183,0.09302325581395349,0.3524590163934426,-1.9978794526398713,38,-2.8087708414452504,-2.14247851317913,0.2631578947368421,0.3114754098360656
stake10_FRIENDLY,48,44,0,4,480.0,480.0,-8.390000000000004,-0.017479166666666674,0.5227272727272727,6,-1.7232512451365645,-1.3895045399299366,0.16666666666666666,0.125,-3.1278182271341772,8,-3.3471603096801084,-2.71818883224158,0.25,0.16666666666666666
stake10_NON_FRIENDLY,38,36,0,2,380.0,380.0,-23.100000000000005,-0.06078947368421054,0.5,17,-0.14810482383678364,-0.39254170755642637,0.23529411764705882,0.4473684210526316,-0.05898316235228712,16,-0.640944334825757,-1.1848368259375353,0.4375,0.42105263157894735
stake2_FRIENDLY,61,46,5,3,122.0,98.0,-6.66,-0.06795918367346938,0.5,14,-3.1148014952727032,-2.8954282152818864,0.0,0.22950819672131148,-3.3972962384249037,15,-2.68767953088918,-1.7728797316722722,0.2,0.2459016393442623
stake2_NON_FRIENDLY,61,32,17,9,122.0,82.0,7.930000000000001,0.09670731707317073,0.59375,29,-1.1157627520810434,-0.5641748942171843,0.13793103448275862,0.47540983606557374,-1.3519947822775487,23,-2.8877434352861657,-2.512077294685988,0.30434782608695654,0.3770491803278688
