name,train_window_weeks,post_q_obj,min_post_p_mean_pos,robust_delta,hyst_p_switch,bayes_n,weeks_total,weeks_with_stake,profit_cap2_total,stake_total,roi_total_cap2,mean_weekly_cap2_nonzero,pneg_weeks_nonzero
p10_p70,12,0.1,0.7,0.02,0.9,3000,16,12,520.110735021889,21909.84670841694,0.02373867521501563,43.34256125182409,0.5
p05_p70,12,0.05,0.7,0.02,0.9,3000,16,12,498.75571123960583,22019.965652525425,0.02265015845664612,41.56297593663383,0.5
base,12,0.05,0.8,0.02,0.9,3000,16,12,337.13858606782514,20533.789140939713,0.016418722514085205,28.094882172318776,0.4166666666666667
p10,12,0.1,0.8,0.02,0.9,3000,16,12,333.501738617241,20775.457728087902,0.016052678260193274,27.791811551436776,0.5
hyst85,12,0.05,0.8,0.02,0.85,3000,16,12,272.9183134313819,20752.92826271057,0.013150833943842468,22.743192785948498,0.4166666666666667
p20,12,0.2,0.8,0.02,0.9,3000,16,12,236.07373861724113,20959.457728087902,0.011263351451162652,19.672811551436777,0.5
win16,16,0.05,0.8,0.02,0.9,3000,16,12,-689.4540000000003,15510.0,-0.044452224371373326,-57.45450000000002,0.6666666666666666
delta04,12,0.05,0.8,0.04,0.9,3000,16,12,-703.0011190788746,18546.340556800365,-0.037905112166243815,-58.583426589906196,0.6666666666666666
win10,10,0.05,0.8,0.02,0.9,3000,16,11,-772.1138760408762,18228.12413585186,-0.04235838368701085,-70.19217054917056,0.45454545454545453
