name,weeks_total,weeks_with_stake,stake_total,profit_cap2_total,roi_total_cap2
baseline_fast,8,8,11606.0,362.0495,0.031195028433568847
regionseg_fast,8,8,11606.0,362.0495,0.031195028433568847
