rule_key,n_obs,bias_pnl,mae_pnl,bias_roi,bias_stake,pit_mean,crps_mean,bias_roi_shrunk,bias_pnl_shrunk
FH|domingo,1,-45.37932384,45.37932384,-0.03788890140786749,636.2444,0.1749,28.782569839999987,-0.08877582794853596,-40.23760564696759
FH|quarta-feira,1,-462.0243,462.0243,-0.8449025313375663,38.042899999999975,0.0,406.21229999999997,-0.0980752253696521,-40.23760564696759
FH|quinta-feira,11,-92.1911011779571,157.81284630386108,0.005845842597706333,246.52687043563722,0.3895181818181818,99.54268421962938,-0.052634327470210185,-40.23760564696759
FH|sexta-feira,1,-198.50955,198.50955,-0.08754896431147664,1214.4850999999999,0.0,155.1488,-0.0893480718906098,-40.23760564696759
FH|sábado,5,-37.248728307729365,37.97006646409928,-0.2899064487944879,285.81277670191173,0.5629,25.13743404663086,-0.09600305075710892,-40.23760564696759
FH|terça-feira,7,45.96275714285715,170.50102857142858,0.10507340433718891,237.5233142857143,0.49594285714285713,135.89275,-0.07046922074781531,-40.23760564696759
FT|domingo,3,-39.59411666666667,39.59411666666667,-0.1692851948051948,59.08546666666667,0.4714333333333333,25.19458333333333,-0.10172550142183376,-40.23760564696759
FT|quarta-feira,11,-72.70337897316436,190.70767557229019,-0.20750996670193056,487.1394806187689,0.5239272727272727,140.46383238047957,-0.09820531280108827,-40.23760564696759
FT|quinta-feira,2,-145.0266609253809,380.52157979766577,0.024882544440396615,1450.764055610934,0.5,331.5988970857665,-0.08679832696378482,-40.23760564696759
FT|segunda-feira,9,42.73842777777778,148.30483888888887,0.16676867734858483,54.76137777777777,0.7084444444444444,132.68614444444444,-0.07714093621044048,-40.23760564696759
FT|sábado,7,-27.831477702171462,58.417422297828544,-0.19066327234034103,279.9638646227036,0.5038571428571429,39.38112541825772,-0.1250358275082045,-40.23760564696759
FT|terça-feira,4,-74.801625,84.382675,-0.09213362821450544,418.6064,0.411325,55.002700000000004,-0.09051269580917616,-40.23760564696759
