week,alpha_effective,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,1.0,19,856.7085271493212,63.25365162466066,0.07383333960166802
2025-10-27/2025-11-02,1.0,12,271.57728836206894,-11.81538229195402,-0.04350651839560921
2025-11-03/2025-11-09,0.9,59,3797.1475945217603,-107.98836737784899,-0.02843933892210208
2025-11-10/2025-11-16,0.6,27,1614.8268641017485,117.47485192368839,0.07274764529572901
2025-11-17/2025-11-23,0.6,19,934.1821341717067,239.7711123705348,0.2566642024075188
2025-11-24/2025-11-30,0.6,46,2325.5603346730713,-129.11652154233326,-0.055520607062849885
2025-12-01/2025-12-07,0.8,25,1852.2280942307693,-574.1151948717949,-0.30995923053970575
2025-12-08/2025-12-14,1.0,25,1097.5848458333332,492.94228006875005,0.4491154209536186
2025-12-15/2025-12-21,1.0,19,1234.8370597762237,-200.1405597762238,-0.162078517316684
2025-12-22/2025-12-28,1.0,12,532.1365601794096,-18.95550277378385,-0.03562150055503236
2025-12-29/2026-01-04,1.0,12,830.1987066190025,339.6127593886098,0.40907406465578366
2026-01-05/2026-01-11,1.0,21,1268.0746760092902,86.53832001244552,0.06824386737600265
2026-01-12/2026-01-18,1.0,81,3804.2032385581306,-19.76125763511987,-0.005194585145931841
2026-01-19/2026-01-25,1.0,6,552.0,335.43199999999996,0.6076666666666666
