date,stake_usd,profit_cap2_usd,week,alpha_global
2025-11-25,1236.0,180.73599999999996,2025-11-24/2025-11-30,1.0
2025-11-26,1507.0,-118.36400000000006,2025-11-24/2025-11-30,1.0
2025-11-27,1355.0,-20.43899999999996,2025-11-24/2025-11-30,1.0
2025-11-28,690.0,286.1775,2025-11-24/2025-11-30,1.0
2025-11-29,207.0,-65.113,2025-11-24/2025-11-30,1.0
2025-11-30,1657.0,54.18999999999991,2025-11-24/2025-11-30,1.0
2025-12-01,276.0,217.12,2025-12-01/2025-12-07,1.0
2025-12-02,1736.0,275.884,2025-12-01/2025-12-07,1.0
2025-12-03,1168.0,12.336999999999989,2025-12-01/2025-12-07,1.0
2025-12-04,1073.0,-520.82,2025-12-01/2025-12-07,1.0
2025-12-05,414.0,94.11600000000001,2025-12-01/2025-12-07,1.0
2025-12-06,736.0,-26.26600000000001,2025-12-01/2025-12-07,1.0
2025-12-07,1571.0,-445.903,2025-12-01/2025-12-07,1.0
2025-12-08,856.5651762485504,165.56656054997444,2025-12-08/2025-12-14,0.9692816138267517
2025-12-09,1701.152130484581,10.798667533874465,2025-12-08/2025-12-14,0.9692816138267517
2025-12-10,512.8695423603058,321.4415453042984,2025-12-08/2025-12-14,0.9692816138267517
2025-12-11,610.043450832367,95.13604334568977,2025-12-08/2025-12-14,0.9692816138267517
2025-12-12,963.5651762485504,473.5954679247737,2025-12-08/2025-12-14,0.9692816138267517
2025-12-13,757.9782220125198,4.25805412954093,2025-12-08/2025-12-14,0.9692816138267517
2025-12-14,1401.5217254161835,-174.81732588124277,2025-12-08/2025-12-14,0.9692816138267517
2025-12-15,499.3616986274719,-40.06768002676965,2025-12-15/2025-12-21,0.8031914830207825
2025-12-16,1415.718075335026,315.6857851490975,2025-12-15/2025-12-21,0.8031914830207825
2025-12-17,732.0425479412079,-305.89806194376945,2025-12-15/2025-12-21,0.8031914830207825
2025-12-18,911.30318492651,8.469132280290182,2025-12-15/2025-12-21,0.8031914830207825
2025-12-19,782.4627602696419,-17.902494527280332,2025-12-15/2025-12-21,0.8031914830207825
2025-12-23,1560.7142496109009,123.36435373830795,2025-12-22/2025-12-28,0.9681676626205444
2025-12-24,267.21427488327026,-90.85285346031189,2025-12-22/2025-12-28,0.9681676626205444
2025-12-25,575.0178436040878,281.5961844016314,2025-12-22/2025-12-28,0.9681676626205444
2025-12-26,334.01784360408783,52.44080144584177,2025-12-22/2025-12-28,0.9681676626205444
2025-12-29,115.0,100.855,2025-12-29/2026-01-04,1.0
2025-12-30,1045.0,-67.45400000000001,2025-12-29/2026-01-04,1.0
2026-01-01,115.0,70.955,2025-12-29/2026-01-04,1.0
2026-01-02,138.0,8.625,2025-12-29/2026-01-04,1.0
2026-01-06,3876.285669565201,-825.6530036096574,2026-01-05/2026-01-11,0.9744651317596436
2026-01-07,336.190470457077,156.88888621330258,2026-01-05/2026-01-11,0.9744651317596436
2026-01-08,247.88888621330264,223.35110872983932,2026-01-05/2026-01-11,0.9744651317596436
2026-01-09,941.3333172798157,211.46380591750145,2026-01-05/2026-01-11,0.9744651317596436
2026-01-10,268.9523763656616,66.56571315050125,2026-01-05/2026-01-11,0.9744651317596436
2026-01-11,22.4126980304718,-22.4126980304718,2026-01-05/2026-01-11,0.9744651317596436
2026-01-12,393.6038839817047,-393.6038839817047,2026-01-12/2026-01-18,0.95073401927948
2026-01-13,2291.282418370247,-445.35976995134354,2026-01-12/2026-01-18,0.95073401927948
2026-01-14,2516.555126786232,419.26102199530595,2026-01-12/2026-01-18,0.95073401927948
2026-01-15,1071.4772397279742,409.7635101073981,2026-01-12/2026-01-18,0.95073401927948
2026-01-17,43.73376488685608,25.540518693923953,2026-01-12/2026-01-18,0.95073401927948
