name,profit_cap2_total,stake_total,roi_total_cap2,weeks_total,weeks_with_stake,mean_weekly_cap2_nonzero,pneg_weeks_nonzero
score_current,520.110735021889,21909.84670841694,0.02373867521501563,16,12,43.34256125182409,0.5
score_v1_logit_foldwise,-786.5161724424954,13338.741781949997,-0.058964794828460516,16,9,-87.39068582694397,0.6666666666666666
score_v1_hgb_foldwise,-854.0484944881202,18721.024894356728,-0.0456197510183091,16,11,-77.64077222619274,0.45454545454545453
