week,rule_key,roi_pred_train,bias_est,roi_debiased,keep,shrink_mu0,shrink_tau2
2025-10-20/2025-10-26,FT|quinta-feira,-0.009494248213217354,0.0,-0.009494248213217354,0,,0.0
2025-10-20/2025-10-26,FH|quinta-feira,-0.07259450805604652,0.0,-0.07259450805604652,0,,0.0
2025-11-03/2025-11-09,FT|quarta-feira,0.03976872820606063,0.0,0.03976872820606063,1,,0.0
2025-11-03/2025-11-09,FH|quarta-feira,0.029850103230103227,0.0,0.029850103230103227,1,,0.0
2025-11-10/2025-11-16,FT|quarta-feira,0.03535322476419263,0.0,0.03535322476419263,1,,0.0
2025-11-10/2025-11-16,FH|quarta-feira,0.03617494796869797,0.0,0.03617494796869797,1,,0.0
2025-11-17/2025-11-23,FT|quarta-feira,0.04119716798934221,0.0,0.04119716798934221,1,,0.0
2025-11-17/2025-11-23,FH|quarta-feira,0.003997990245049066,0.0,0.003997990245049066,1,,0.0
2025-11-24/2025-11-30,FT|quarta-feira,0.05207988526553561,0.09998184002368324,0.15206172528921885,1,0.09998184002368324,0.0
2025-11-24/2025-11-30,FH|quarta-feira,0.02126893523143523,0.09998184002368324,0.12125077525511847,1,0.09998184002368324,0.0
2025-12-01/2025-12-07,FT|quarta-feira,0.04757291221736349,0.03892732617495774,0.08650023839232124,1,0.03892732617495774,0.0
2025-12-08/2025-12-14,FT|quarta-feira,0.033047918465096984,-0.018184372480620128,0.014863545984476857,1,-0.018184372480620128,0.0
2025-12-15/2025-12-21,FT|segunda-feira,0.13788797150439128,0.0,0.13788797150439128,1,-0.004964493151727831,0.0
2025-12-15/2025-12-21,FT|terça-feira,-0.0063074209584047655,0.0,-0.0063074209584047655,0,-0.004964493151727831,0.0
2025-12-15/2025-12-21,FT|quarta-feira,0.038580147220448904,-0.004964493151727831,0.03361565406872107,1,-0.004964493151727831,0.0
2025-12-15/2025-12-21,FH|terça-feira,0.036954670329670335,0.0,0.036954670329670335,1,-0.004964493151727831,0.0
2025-12-22/2025-12-28,FT|segunda-feira,0.12962033643600981,-0.013115250299427783,0.11650508613658203,1,-0.013115250299427783,0.0
2025-12-22/2025-12-28,FT|terça-feira,0.0070814901788987215,-0.013115250299427783,-0.0060337601205290615,0,-0.013115250299427783,0.0
2025-12-22/2025-12-28,FT|quarta-feira,0.02872378965090104,-0.013115250299427783,0.015608539351473258,1,-0.013115250299427783,0.0
2025-12-29/2026-01-04,FT|segunda-feira,0.14475278557647317,0.28690179258006965,0.43165457815654285,1,0.28690179258006965,0.0
2025-12-29/2026-01-04,FT|terça-feira,0.01958945627069688,0.28690179258006965,0.3064912488507665,1,0.28690179258006965,0.0
2025-12-29/2026-01-04,FT|quarta-feira,0.03559714717495654,0.28690179258006965,0.3224989397550262,1,0.28690179258006965,0.0
2025-12-29/2026-01-04,FH|terça-feira,0.027486594202898552,0.28690179258006965,0.3143883867829682,1,0.28690179258006965,0.0
2026-01-05/2026-01-11,FT|segunda-feira,0.17526308617745343,0.21002321293142948,0.3852862991088829,1,0.21002321293142948,0.0
2026-01-05/2026-01-11,FT|terça-feira,0.028110328923175536,0.21002321293142948,0.238133541854605,1,0.21002321293142948,0.0
2026-01-05/2026-01-11,FH|terça-feira,0.02634131944444444,0.21002321293142948,0.2363645323758739,1,0.21002321293142948,0.0
2026-01-12/2026-01-18,FT|segunda-feira,0.19005256273035528,0.11018437104483808,0.30023693377519334,1,0.11018437104483808,0.0
2026-01-12/2026-01-18,FT|terça-feira,0.03596405503083735,0.11018437104483808,0.14614842607567544,1,0.11018437104483808,0.0
2026-01-12/2026-01-18,FT|quarta-feira,0.11981820609927718,0.11018437104483808,0.23000257714411526,1,0.11018437104483808,0.0
