week,alpha_effective,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,1.0,19,874.0,60.05300000000001,0.06871052631578949
2025-10-27/2025-11-02,1.0,12,276.0,-10.235,-0.03708333333333333
2025-11-03/2025-11-09,0.9040834307670592,50,3293.179052531719,127.02178524968019,0.038571174911375926
2025-11-10/2025-11-16,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,0.6001525521278381,19,936.0315741300583,239.10021646594996,0.2554403324355465
2025-11-24/2025-11-30,0.6001525521278381,46,2371.382444024086,-141.23585567113764,-0.05955844702614452
2025-12-01/2025-12-07,0.6830205917358398,25,1745.305256843567,-557.3448810043336,-0.319339484493565
2025-12-08/2025-12-14,0.7293199300765991,25,877.6512604951859,380.4866131016016,0.4335282477540391
2025-12-15/2025-12-21,1.0,19,1228.0,-193.3035,-0.1574132736156352
2025-12-22/2025-12-28,1.0,12,524.0,-27.186000000000007,-0.05188167938931299
2025-12-29/2026-01-04,0.8243277072906494,12,701.5028789043427,282.93317464566235,0.40332432432432436
2026-01-05/2026-01-11,1.0,21,1265.0,62.559999999999974,0.04945454545454543
2026-01-12/2026-01-18,1.0,81,3893.0,-42.946000000000026,-0.011031595170819426
2026-01-19/2026-01-25,1.0,6,552.0,335.43199999999996,0.6076666666666666
