week,n_selected,n_executed,fill_rate_n,stake_intended_usd,stake_executed_usd,fill_rate_stake,pnl_theory_intended_usd,pnl_effective_usd,roi_theory,roi_effective,delta_pnl_total_usd,delta_pnl_on_exec_stake_usd,avg_odds_slippage_real_minus_rb
2026-01-19/2026-01-25,11,11,1.0,253.0,209.0,0.8260869565217391,3.8985000000000074,47.5,0.015409090909090938,0.22727272727272727,43.601499999999994,44.2795,
2026-01-26/2026-02-01,8,2,0.25,368.0,114.0,0.30978260869565216,64.768,0.0,0.176,0.0,-64.768,-20.52000000000001,
