BIA_ApostaUTC,dow_pt,bet_type,rf_prob,proba_segqui_raw,proba_sexdom_raw,proba_segqui_cal,proba_sexdom_cal,proba_cli_like,rf_prob_raw,diff_rf_minus_cli_like,abs_diff_rf_minus_cli_like,proba_raw_segunda,proba_raw_terca,proba_raw_quarta,proba_raw_segqui,proba_raw_sexdom,proba_raw_operacional
2025-08-16 22:03:00,sábado,FH,,0.37474083521516793,0.41249616541690426,0.3125,0.375,0.375,,,,0.2927689594356261,0.6349944220664477,0.3479269997758158,0.3389920702384676,0.306541968983369,0.306541968983369
2025-08-17 10:28:00,domingo,FT,0.0,0.37099612815469696,0.23147738288511502,0.3125,0.09433962264150944,0.09433962264150944,0.0,-0.09433962264150944,0.09433962264150944,0.5160286372488462,0.61887911383024,0.3648501378587015,0.3709961281546969,0.231477382885115,0.231477382885115
2025-08-18 09:55:00,segunda-feira,FT,0.0,0.44139951384271153,0.3934691239210195,0.44272445820433437,0.35,0.44272445820433437,0.0,-0.44272445820433437,0.44272445820433437,0.5308641975308642,0.3658267200633059,0.2995474486134962,0.4413995138427115,0.3934691239210194,0.5308641975308642
2025-08-18 11:22:00,segunda-feira,FT,0.0,0.3971728528129813,0.2905986962029605,0.3125,0.09433962264150944,0.3125,0.0,-0.3125,0.3125,0.2927689594356261,0.589483253375493,0.2224853005202098,0.3971728528129813,0.2905986962029605,0.2927689594356261
2025-08-18 11:24:00,segunda-feira,FT,0.0,0.4069946492390729,0.3947620678390928,0.3429096942011634,0.35,0.3429096942011634,0.0,-0.3429096942011634,0.3429096942011634,0.4370266151362283,0.4917197147180003,0.4145194870498354,0.4069946492390729,0.3947620678390928,0.4370266151362283
2025-08-19 20:16:00,terça-feira,FH,0.0,0.46745354031260655,0.5115879874343364,0.44272445820433437,0.375,0.44272445820433437,0.0,-0.44272445820433437,0.44272445820433437,0.1816578483245149,0.1954329127431234,0.586115712107625,0.4674535403126064,0.5115879874343364,0.1954329127431234
2025-08-19 21:02:00,terça-feira,FT,0.0,0.2869736174254614,0.2369896107918262,0.16666666666666666,0.09433962264150944,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,0.2927689594356261,0.6361023721114826,0.3026075222637701,0.2539736512867085,0.2879652785241889,0.6361023721114826
2025-08-19 21:22:00,terça-feira,FT,0.0,0.995,0.995,1.0,0.5,1.0,0.0,-1.0,1.0,0.1975308641975308,0.995,0.005,0.995,0.995,0.995
2025-08-19 21:24:00,terça-feira,FT,0.0,0.995,0.995,1.0,0.5,1.0,0.0,-1.0,1.0,0.1975308641975308,0.995,0.005,0.995,0.995,0.995
2025-08-19 21:35:00,terça-feira,FT,0.0,0.2621244952040398,0.3723962331907458,0.15266808628954034,0.35,0.15266808628954034,0.0,-0.15266808628954034,0.15266808628954034,0.1816578483245149,0.330255648608604,0.3247835049817135,0.2621244952040397,0.3723962331907457,0.330255648608604
2025-08-19 23:47:00,terça-feira,FH,0.0,0.35944683324916415,0.3866131809868271,0.30888148501332563,0.35,0.30888148501332563,0.0,-0.30888148501332563,0.30888148501332563,0.5308641975308642,0.302622451306855,0.2428273356896756,0.3594468332491641,0.3866131809868272,0.302622451306855
2025-08-20 00:23:00,quarta-feira,FT,0.0,0.6047196721266626,0.5314188619558518,0.4909090909090909,0.375,0.4909090909090909,0.0,-0.4909090909090909,0.4909090909090909,0.2927689594356261,0.1691384562384586,0.3280262399904242,0.6047196721266623,0.5314188619558516,0.3280262399904242
2025-08-20 01:29:00,quarta-feira,FT,0.0,0.4202770318911616,0.2639383226937819,0.35555555555555557,0.09433962264150944,0.35555555555555557,0.0,-0.35555555555555557,0.35555555555555557,0.2927689594356261,0.7621969097166367,0.2083085560355814,0.3801200958155486,0.3182925047987928,0.2083085560355814
2025-08-20 02:06:00,quarta-feira,FT,0.0,0.40930360678167627,0.36012547910476067,0.35555555555555557,0.35,0.35555555555555557,0.0,-0.35555555555555557,0.35555555555555557,0.1816578483245149,0.6639711913626286,0.3224105484290502,0.4093036067816762,0.3601254791047606,0.3224105484290502
2025-08-20 09:47:00,quarta-feira,FT,0.0,0.3153809435383577,0.3046540693663941,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.0,-0.16666666666666666,0.16666666666666666,0.4450238616780465,0.6756407491737015,0.2298542153582191,0.3153809435383577,0.3046540693663941,0.2298542153582191
