scenario,weeks,profit,stake,roi_on_stake,mean_week,std_week,pneg_week,sharpe_annual,fc_bias,fc_mae,fc_rmse,fc_cov80,fc_cov90,fc_pit_mean,fc_crps_mean
before,16,3086.6132505238056,66570.15305751562,0.04636632347618335,192.91332815773785,499.3406905439537,0.375,2.785909138049343,-201.12764239279147,489.4766907507947,564.9593006640246,0.625,0.75,0.41719375000000003,307.1583212810215
after,16,3634.6132505238056,67320.15305751562,0.05398997306822132,227.16332815773785,510.0232263229331,0.375,3.2118106992216724,-168.64907051779144,475.4793126257947,553.7598212728801,0.625,0.8125,0.4396875,294.4883275310215
