name,profit_cap2_total,stake_total,roi_total_cap2,weeks,weeks_with_stake
baseline,368.29474499320975,23186.753624796867,0.015883842600515678,17,14
region_gating,-1029.8871505835352,13335.217974364758,-0.07723061989413003,17,13
