bet_id,payload_path,cutoff,calib_floor,proba_cal_log,proba_cal_cli,abs_diff_cal,match6_cal,decision_log,decision_cli,match_decision,proba_raw_log,proba_raw_cli,abs_diff_raw,match6_raw
23500,/workspace/payloads_22_01_26/payload023500.csv,0.62,0.005,0.35555555555555557,0.355556,4.444444444140494e-07,1,0,0,1,0.41407900063667824,0.414079,6.36678265664159e-10,1
23501,/workspace/payloads_22_01_26/payload023501.csv,0.62,0.005,0.4536082474226804,0.453608,2.4742268039945614e-07,1,0,0,1,0.5547726100087216,0.554773,3.899912783822401e-07,1
23503,/workspace/payloads_22_01_26/payload023503.csv,0.62,0.005,0.44272445820433437,0.442724,4.58204334363721e-07,1,0,0,1,0.46255554842972485,0.462556,4.515702751728412e-07,1
23504,/workspace/payloads_22_01_26/payload023504.csv,0.62,0.005,0.4536082474226804,0.453608,2.4742268039945614e-07,1,0,0,1,0.5550215188941823,0.555022,4.811058177400795e-07,1
23505,/workspace/payloads_22_01_26/payload023505.csv,0.62,0.005,0.4074960758059937,0.407496,7.580599364898077e-08,1,0,0,1,0.4278543666974987,0.427854,3.66697498699331e-07,1
23506,/workspace/payloads_22_01_26/payload023506.csv,0.62,0.005,0.3125,0.3125,0.0,1,0,0,1,0.3774926948588812,0.377493,3.0514111881707606e-07,1
23508,/workspace/payloads_22_01_26/payload023508.csv,0.62,0.005,0.4909090909090909,0.490909,9.0909090921798e-08,1,0,0,1,0.6139275599107092,0.613928,4.4008929078742653e-07,1
23510,/workspace/payloads_22_01_26/payload023510.csv,0.62,0.005,0.4536082474226804,0.453608,2.4742268039945614e-07,1,0,0,1,0.5628232830911829,0.562823,2.8309118293989854e-07,1
23511,/workspace/payloads_22_01_26/payload023511.csv,0.62,0.005,0.3125,0.3125,0.0,1,0,0,1,0.3834801552152552,0.38348,1.5521525520423296e-07,1
23512,/workspace/payloads_22_01_26/payload023512.csv,0.62,0.005,0.16666666666666666,0.166667,3.333333333521704e-07,1,0,0,1,0.28450869542826906,0.284509,3.0457173094688983e-07,1
23515,/workspace/payloads_22_01_26/payload023515.csv,0.62,0.005,0.3125,0.3125,0.0,1,0,0,1,0.3951250488760719,0.395125,4.887607191195187e-08,1
23516,/workspace/payloads_22_01_26/payload023516.csv,0.62,0.005,0.31185075319019273,0.311851,2.4680980725833024e-07,1,0,0,1,0.36542082356551064,0.365421,1.764344893517844e-07,1
