week,n_train_weeks,alpha,pnl_theoretical,stake_theoretical,roi_on_stake_theoretical,pred_mean,pred_p05,pred_p10,pred_p50,pred_p90,pred_p95,pred_prob_pos,pred_stake_mean,pred_stake_p10,pred_stake_p50,pred_stake_p90,pred_roi_mean,pred_roi_p10,pred_roi_p50,pred_roi_p90,pit,crps,error,abs_error,error_stake_component,error_roi_component,error_interaction,pred_cov_term,error_vs_prodmeans,error_decomp_total,pred_mean_raw,bias_online,pred_mean_bias_adj_online,diff_real_minus_model_raw,diff_real_minus_model_bias_adj,abs_diff_raw,abs_diff_bias_adj,pred_p05_bias_adj_online,pred_p10_bias_adj_online,pred_p50_bias_adj_online,pred_p90_bias_adj_online,pred_p95_bias_adj_online
2025-09-29/2025-10-05,10,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06/2025-10-12,11,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13/2025-10-19,12,1.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-20/2025-10-26,13,1.0,97.24600000000004,1252.0,0.0776725239616613,38.69539095,-84.2495,-69.0,0.0,192.855,231.62350000000004,0.3853,404.1475,0.0,69.0,1398.0,-0.0412840370457471,-1.0,0.0,0.2638080865603645,0.6922,44.31567360000002,58.55060905000004,58.55060905000004,-35.00277401932934,48.07599673974163,100.85761764153384,55.38023131194609,113.93084036194614,58.55060905000005,38.69539095,0.0,38.69539095,58.55060905000004,58.55060905000004,58.55060905000004,58.55060905000004,-84.2495,-69.0,0.0,192.855,231.62350000000004
2025-10-27/2025-11-02,14,1.0,-10.235,276.0,-0.0370833333333333,49.42023125,-69.0,-69.0,0.0,231.62350000000004,231.955,0.4253,555.1555,0.0,184.0,1628.0,-0.058359713231409,-1.0,0.0,0.2638080865603645,0.2863,26.13134845,-59.65523125,59.65523125,16.291434926970595,11.811699320506149,-5.939418468637263,81.81894702883949,22.16371577883948,-59.65523125000001,49.42023125,14.63765226250001,64.05788351250001,-59.65523125,-74.29288351250001,59.65523125,74.29288351250001,-54.36234773749999,-54.36234773749999,14.63765226250001,246.26115226250005,246.59265226250002
2025-11-03/2025-11-09,15,0.9040834307670592,-124.12716731682416,3854.614863038063,-0.0322022229787677,83.79152347197453,-813.9233273290992,-62.381756722927086,101.8802871100306,395.4910791302025,707.1218036724329,0.5312,1074.156942065632,0.0,798.581080675125,3112.5371609330173,-0.0717546705887932,-1.0,0.0529732880726346,0.256218366570427,0.067,147.8052447404991,-207.9186907887987,207.9186907887987,-199.51084220537783,42.4855361759961,109.9739162511425,160.86730101055946,-47.051389778239226,-207.9186907887987,83.79152347197453,-0.22092443999999176,83.57059903197454,-207.9186907887987,-207.6977663487987,207.9186907887987,207.6977663487987,-814.1442517690991,-62.60268116292708,101.6593626700306,395.2701546902025,706.9008792324329
2025-11-10/2025-11-16,16,0.6215238571166992,121.8652902841568,1672.5206995010376,0.0728632478632478,42.04389514238482,-570.0845025014877,0.0,0.0,294.89031646823884,436.7439300775528,0.4437,587.4296488334655,0.0,200.13068199157715,1640.0949687957764,0.0364671598577465,0.0,0.0,0.2071789447636265,0.7477,69.47113135828069,79.82139514177197,79.82139514177197,39.57018880490447,21.38014119598357,39.493069374078885,20.622004233194936,100.44339937496692,79.821395141772,42.04389514238482,-34.837218831466444,7.206676310918375,79.82139514177197,114.65861397323843,79.82139514177197,114.65861397323843,-604.9217213329541,-34.837218831466444,-34.837218831466444,260.0530976367724,401.9067112460864
2025-11-17/2025-11-23,17,0.6001525521278381,239.10021646595,936.0315741300584,0.2554403324355465,39.09857109826682,-551.3415901992917,0.0,0.0,282.363419192493,425.29055619400737,0.4637,618.1964850940705,0.0,193.24912178516388,1615.0105177760124,0.0338668777002347,0.0,0.0,0.2068236166569211,0.8923,139.9486075708033,200.0016453676832,200.0016453676832,10.764082089225017,136.97593090751985,70.42381871380925,18.162186342870967,218.16383171055412,200.00164536768315,39.09857109826682,-18.45741683528953,20.641154262977288,200.00164536768318,218.45906220297272,200.00164536768318,218.45906220297272,-569.7990070345812,-18.45741683528953,-18.45741683528953,263.9060023572035,406.83313935871786
2025-11-24/2025-11-30,18,0.6001525521278381,-141.23585567113764,2371.382444024086,-0.0595584470261445,51.72072666083423,-551.3415901992917,0.0,0.0,282.363419192493,425.29055619400737,0.4992,651.0146800096512,0.0,496.92631316185,1615.0105177760124,0.0462571612966692,0.0,0.0,0.2554403324355465,0.0567,155.47060307223475,-192.95658233197187,192.95658233197187,79.57932914960587,-68.88751439230316,-182.04176148814625,21.6066356011283,-171.34994673084358,-192.95658233197184,51.72072666083423,8.849965940082065,60.570692600916296,-192.95658233197187,-201.80654827205393,192.95658233197187,201.80654827205393,-542.4916242592096,8.849965940082065,8.849965940082065,291.21338513257507,434.14052213408945
2025-12-01/2025-12-07,19,0.6830205917358398,-500.74179712772366,2126.947360992432,-0.2354274517137452,38.718982045716565,-548.0469238424301,-116.27754636240012,0.0,249.9377251338959,380.5472088623047,0.4148,616.842672328186,0.0,471.2842082977295,1649.4947290420532,0.0435829220506371,-0.0559137023491796,0.0,0.3302008676723476,0.0547,451.318819888057,-539.4607791734402,539.4607791734402,65.81477493435548,-172.10550456010762,-421.3348736075576,11.835175940130537,-527.6256032333097,-539.4607791734402,38.718982045716565,-15.269606851414423,23.449375194302142,-539.4607791734402,-524.1911723220257,539.4607791734402,524.1911723220257,-563.3165306938446,-131.54715321381454,-15.269606851414423,234.6681182824815,365.27760201089023
2025-12-08/2025-12-14,20,0.7293199300765991,273.7313837131262,1531.753804206848,0.1787045561508274,21.81468032630925,-583.5022626537085,-496.9770610859394,0.0,286.03236798399683,330.1327708344459,0.4497,887.4178857488156,0.0,1031.4615035057068,1895.753804206848,0.0547528926397041,-0.2100708817247247,0.0,0.2665182827937376,0.8518,147.771019343859,251.91670338681692,251.91670338681692,35.279255367237795,109.99692316808968,79.86650895284062,-26.774015898648862,225.1426874881681,251.9167033868169,21.81468032630925,-82.70220424809443,-60.88752392178518,251.91670338681695,334.6189076349114,251.91670338681695,334.6189076349114,-666.2044669018029,-579.6792653340339,-82.70220424809443,203.3301637359024,247.4305665863515
2025-12-15/2025-12-21,21,1.0,-289.7685,2060.0,-0.1406643203883495,79.87732494999999,-780.675,-621.325,0.0,609.972,646.052,0.4704,1379.5247,0.0,1387.0,3013.0,0.0658236752540173,-0.1909419176398279,0.0,0.2720833333333333,0.1003,284.1082518500001,-369.64582495,369.64582495,44.79138516558005,-284.8552902421375,-140.50998078113832,-10.928060907695752,-380.57388585769576,-369.6458249500001,79.87732494999999,-51.21261632474233,28.66470862525766,-369.64582495,-318.4332086252577,369.64582495,318.4332086252577,-831.8876163247423,-672.5376163247424,-51.21261632474233,558.7593836752576,594.8393836752577
2025-12-22/2025-12-28,22,0.8913613557815552,333.89028751492503,1105.0655591487885,0.3021452299826578,94.34221656415924,-509.3053289400339,-75.64983826518058,0.0,581.6536187314987,744.2990881083011,0.499,1742.27771385597,0.0,1252.5721150636673,3738.724212288857,0.0217354685120447,-0.1159299795246725,0.0,0.2127359716303505,0.7769,189.3105702358301,239.5480709507658,239.5480709507658,-13.850104724130114,488.5516781579176,-178.68050830761618,56.47299417540554,296.0210651261713,239.5480709507657,94.34221656415924,-104.73717057474232,-10.394954010583078,239.5480709507658,344.2852415255081,239.5480709507658,344.2852415255081,-614.0424995147762,-180.38700883992288,-104.73717057474232,476.91644815675636,639.5619175335588
2025-12-29/2026-01-04,23,0.9004244208335876,324.1077702790499,683.422135412693,0.4742424242424242,110.55278620578495,-515.3193342058063,-76.41902059614658,2.0295566445588946,586.9982894539833,750.6722535790204,0.5261,1738.758475913602,0.0,1264.0368923544884,3774.3692471385,0.0367305220285125,-0.1163931941232562,0.0061249999999999,0.2381237157120629,0.7367,164.01098388188288,213.5549840732649,213.5549840732649,-38.76305470225841,760.7275282875221,-461.7222098080212,46.68727970397757,260.2422637772425,213.554984073265,110.55278620578495,-67.3367577996466,43.21602840613835,213.5549840732649,280.89174187291155,213.5549840732649,280.89174187291155,-582.6560920054529,-143.7557783957932,-65.30720115508771,519.6615316543366,683.3354957793738
2026-01-05/2026-01-11,24,1.0,-63.06600000000001,1311.0,-0.0481052631578947,105.23355685,-269.054,-117.185,0.0,480.604,662.488,0.4919,883.9899,0.0,437.0,2210.0,0.1171307698775219,-0.1671142857142857,0.0,0.3604272727272728,0.1695,80.35191704999997,-168.29955685000002,168.29955685000002,50.01602175847764,-146.0669843193747,-70.55745499005658,1.6911392990463412,-166.60841755095367,-168.29955685,105.23355685,-14.652548441888655,90.58100840811134,-168.29955685000002,-153.64700840811136,168.29955685000002,153.64700840811136,-283.70654844188863,-131.83754844188866,-14.652548441888655,465.95145155811133,647.8354515581113
2026-01-12/2026-01-18,25,1.0,73.314,3120.0,0.0234980769230769,99.74949615,-107.157,-100.832,18.433999999999987,418.026,588.658,0.5233,1017.2253,0.0,552.0,2488.0,0.0722116231870288,-0.1302025316455696,0.0074091639871382,0.3250286054827175,0.6389,49.627359500000026,-26.43549615000001,26.43549615000001,151.84477428361768,-49.55265171241241,-102.4336126311177,26.294006090087592,-0.1414900599124138,-26.43549615000002,99.74949615,-45.66766744086016,54.08182870913984,-26.435496150000006,19.23217129086015,26.435496150000006,19.23217129086015,-152.82466744086014,-146.49966744086015,-27.23366744086017,372.35833255913985,542.9903325591399
2026-01-19/2026-01-25,26,1.0,667.9754999999999,4678.0,0.1427908294142796,136.7678879,-658.4555,-365.125,0.0,985.656,995.6595,0.4595,2751.0213,0.0,2346.0,7083.0,0.0261736332449124,-0.1811930379746835,0.0,0.2517720940356988,0.8454,376.7848454499999,531.2076120999999,531.2076120999999,50.436033764558125,320.8163906082075,224.71885307209212,64.76366534485781,595.9712774448577,531.2076121,136.7678879,-73.97231013057055,62.79557776942946,531.2076120999999,605.1799222305705,531.2076120999999,605.1799222305705,-732.4278101305706,-439.0973101305706,-73.97231013057055,911.6836898694294,921.6871898694294
2026-01-26/2026-02-01,27,1.0,64.768,368.0,0.176,213.56741394999997,-928.2225,-309.468,37.536,1191.535,1192.101,0.5281,3367.531,0.0,2967.0,8586.0,0.0381242868042216,-0.2242083333333333,0.0196626506024096,0.2628942307692307,0.5069,112.01286835000002,-148.79941394999994,148.79941394999994,-114.35498012215383,464.3007383338926,-413.5624758778461,85.18269628389251,-63.61671766610744,-148.7994139499999,213.56741394999997,16.54821417342592,230.1156281234259,-148.79941394999997,-165.3476281234259,148.79941394999997,165.3476281234259,-911.6742858265741,-292.91978582657407,54.08421417342592,1208.083214173426,1208.6492141734261
2026-02-02/2026-02-08,28,1.0,0.0,0.0,,202.06611765,-898.8054999999999,-460.831,21.827000000000005,1244.9554999999998,1413.0275,0.5644,3693.745,0.0,3542.0,9556.0,0.0364649088834477,-0.2097,0.0200229885057471,0.2674147187728269,0.4356,115.0981486,-202.06611765,202.06611765,-134.6920748636908,-134.6920748636908,134.6920748636908,67.37404278630919,-134.6920748636908,-202.06611765,202.06611765,65.38088482635594,267.4470024763559,-202.06611765,-267.4470024763559,202.06611765,267.4470024763559,-833.424615173644,-395.45011517364406,87.20788482635595,1310.3363848263557,1478.4083848263558
