name,weeks_total,weeks_with_stake,stake_total,profit_cap2_total,roi_total_cap2,last_weeks,train_window_weeks,pmax_min,bayes_n,min_selected_bets,min_bets_per_bin,min_seg_train_weeks
baseline_fast,8,8,12002.0,215.88450000000003,0.017987377103816034,8,12,0.85,1200,10,40,6
regionseg_fast,8,8,12002.0,215.88450000000003,0.017987377103816034,8,12,0.85,1200,10,40,6
