date,dow_pt,subset,bet_id,payload_path,payload_hash_minipipeline,payload_hash_log,match_payload_hash,proba_raw_quarta,proba_raw_segqui,proba_cal_segqui,score_portfolio,score_portfolio_col,log_score_ref,log_score_ref_col,abs_diff_score,match6_score,log_proba_raw,abs_diff_raw,match6_raw,decision_minipipeline,decision_log,match_decision
2026-01-22,quinta-feira,SegQui,23466,/workspace/payloads_22_01_26/payload023466.csv,,,,,0.5498915150197102,0.4536082474226804,0.4536082474226804,proba_cal_segqui,0.4536082474226804,scoring.jsonl.proba_cal,0.0,1,0.5498915150197102,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23468,/workspace/payloads_22_01_26/payload023468.csv,,,,,0.582772157575149,0.4909090909090909,0.4909090909090909,proba_cal_segqui,0.4909090909090909,scoring.jsonl.proba_cal,0.0,1,0.582772157575149,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23469,/workspace/payloads_22_01_26/payload023469.csv,,,,,0.6147797143586968,0.4909090909090909,0.4909090909090909,proba_cal_segqui,0.4909090909090909,scoring.jsonl.proba_cal,0.0,1,0.6147797143586968,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23471,/workspace/payloads_22_01_26/payload023471.csv,,,,,0.2760131367540037,0.16666666666666666,0.16666666666666666,proba_cal_segqui,0.16666666666666666,scoring.jsonl.proba_cal,0.0,1,0.2760131367540037,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23473,/workspace/payloads_22_01_26/payload023473.csv,,,,,0.3256494506815183,0.3,0.3,proba_cal_segqui,0.3,scoring.jsonl.proba_cal,0.0,1,0.3256494506815183,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23476,/workspace/payloads_22_01_26/payload023476.csv,,,,,0.3779995142096159,0.3125,0.3125,proba_cal_segqui,0.3125,scoring.jsonl.proba_cal,0.0,1,0.3779995142096159,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23477,/workspace/payloads_22_01_26/payload023477.csv,,,,,0.32311249224082184,0.27505316186341144,0.27505316186341144,proba_cal_segqui,0.27505316186341144,scoring.jsonl.proba_cal,0.0,1,0.32311249224082184,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23478,/workspace/payloads_22_01_26/payload023478.csv,,,,,0.3631187188438561,0.31070653200337217,0.31070653200337217,proba_cal_segqui,0.31070653200337217,scoring.jsonl.proba_cal,0.0,1,0.3631187188438561,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23480,/workspace/payloads_22_01_26/payload023480.csv,,,,,0.3155029904080351,0.16666666666666666,0.16666666666666666,proba_cal_segqui,0.16666666666666666,scoring.jsonl.proba_cal,0.0,1,0.3155029904080351,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23482,/workspace/payloads_22_01_26/payload023482.csv,,,,,0.45454065425042944,0.44272445820433437,0.44272445820433437,proba_cal_segqui,0.44272445820433437,scoring.jsonl.proba_cal,0.0,1,0.45454065425042944,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23483,/workspace/payloads_22_01_26/payload023483.csv,,,,,0.596866393058048,0.4909090909090909,0.4909090909090909,proba_cal_segqui,0.4909090909090909,scoring.jsonl.proba_cal,0.0,1,0.596866393058048,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23485,/workspace/payloads_22_01_26/payload023485.csv,,,,,0.41058520667903936,0.35555555555555557,0.35555555555555557,proba_cal_segqui,0.35555555555555557,scoring.jsonl.proba_cal,0.0,1,0.41058520667903936,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23487,/workspace/payloads_22_01_26/payload023487.csv,,,,,0.6143919798909134,0.4909090909090909,0.4909090909090909,proba_cal_segqui,0.4909090909090909,scoring.jsonl.proba_cal,0.0,1,0.6143919798909134,0.0,1.0,0.0,0.0,1.0
2026-01-22,quinta-feira,SegQui,23488,/workspace/payloads_22_01_26/payload023488.csv,,,,,0.45150838604205507,0.44272445820433437,0.44272445820433437,proba_cal_segqui,0.44272445820433437,scoring.jsonl.proba_cal,0.0,1,0.45150838604205507,0.0,1.0,0.0,0.0,1.0
