week,rule_key,roi_pred_train,bias_est,roi_debiased,keep,shrink_mu0,shrink_tau2
2025-10-13/2025-10-19,FT|quinta-feira,-0.0015062308077487864,0.0,-0.0015062308077487864,0,,0.0
2025-10-13/2025-10-19,FH|quinta-feira,-0.061173147888600066,0.0,-0.061173147888600066,0,,0.0
2025-10-13/2025-10-19,FH|sábado,0.04116346690746913,0.0,0.04116346690746913,1,,0.0
2025-10-20/2025-10-26,FT|quinta-feira,0.032020459581797014,0.0,0.032020459581797014,1,,0.0
2025-10-20/2025-10-26,FH|quinta-feira,-0.024434849849147507,0.0,-0.024434849849147507,0,,0.0
2025-10-27/2025-11-02,FT|quarta-feira,0.05150793650793651,0.0,0.05150793650793651,1,,0.0
2025-10-27/2025-11-02,FT|sábado,0.07347944000497307,0.0,0.07347944000497307,1,,0.0
2025-11-03/2025-11-09,FT|quarta-feira,0.099949772524895,0.0,0.099949772524895,1,,0.0
2025-11-03/2025-11-09,FT|sábado,0.08238613027487457,0.0,0.08238613027487457,1,,0.0
2025-11-03/2025-11-09,FH|sábado,-0.047043509046790846,0.0,-0.047043509046790846,0,,0.0
2025-11-10/2025-11-16,FT|terça-feira,0.022950693947587527,0.0,0.022950693947587527,1,0.11707069178794698,0.0
2025-11-10/2025-11-16,FT|quarta-feira,0.09629579979921069,0.11707069178794698,0.21336649158715765,1,0.11707069178794698,0.0
2025-11-10/2025-11-16,FT|sábado,0.08161739984430338,0.11707069178794698,0.19868809163225037,1,0.11707069178794698,0.0
2025-11-10/2025-11-16,FH|quarta-feira,0.08563898161208325,0.0,0.08563898161208325,1,0.11707069178794698,0.0
2025-11-10/2025-11-16,FH|quinta-feira,0.03134206083229525,0.11707069178794698,0.14841275262024223,1,0.11707069178794698,0.0
2025-11-10/2025-11-16,FH|sábado,0.011009327170027032,0.11707069178794698,0.128080018957974,1,0.11707069178794698,0.0
2025-11-17/2025-11-23,FT|segunda-feira,0.13405345089819495,0.0,0.13405345089819495,1,0.05621327011662362,0.06736506524365471
2025-11-17/2025-11-23,FT|quarta-feira,0.09414282666175514,0.10941943726755878,0.20356226392931392,1,0.05621327011662362,0.06736506524365471
2025-11-17/2025-11-23,FT|sábado,0.06800331802821907,-0.006890434013367252,0.06111288401485182,1,0.05621327011662362,0.06736506524365471
2025-11-17/2025-11-23,FH|quinta-feira,0.029761986303049152,0.14956633036250525,0.1793283166655544,1,0.05621327011662362,0.06736506524365471
2025-11-17/2025-11-23,FH|sábado,0.00742054321884897,0.005556839040236475,0.012977382259085445,1,0.05621327011662362,0.06736506524365471
2025-11-24/2025-11-30,FT|segunda-feira,0.14998238943705897,0.20601532126201738,0.3559977106990764,1,0.09904076005338194,0.07142316925926925
2025-11-24/2025-11-30,FT|quarta-feira,0.0870682018304319,0.0873904753398497,0.1744586771702816,1,0.09904076005338194,0.07142316925926925
2025-11-24/2025-11-30,FT|sábado,0.07510113741341588,0.022331487494574906,0.09743262490799079,1,0.09904076005338194,0.07142316925926925
2025-11-24/2025-11-30,FH|quarta-feira,0.06310023216440239,-0.3573201161644598,-0.2942198840000574,0,0.09904076005338194,0.07142316925926925
2025-11-24/2025-11-30,FH|quinta-feira,0.04998577634330619,0.1897408658394934,0.2397266421827996,1,0.09904076005338194,0.07142316925926925
2025-11-24/2025-11-30,FH|sábado,0.019161068595579582,0.058216165819177094,0.07737723441475668,1,0.09904076005338194,0.07142316925926925
2025-12-01/2025-12-07,FT|segunda-feira,0.15378864958866625,0.07248630550059074,0.226274955089257,1,0.07248630550059074,0.0
2025-12-01/2025-12-07,FT|terça-feira,0.058309060940639895,0.07248630550059074,0.13079536644123063,1,0.07248630550059074,0.0
2025-12-01/2025-12-07,FT|quarta-feira,0.09090588601062558,0.07248630550059074,0.1633921915112163,1,0.07248630550059074,0.0
2025-12-01/2025-12-07,FT|sábado,0.07491036167372099,0.07248630550059074,0.1473966671743117,1,0.07248630550059074,0.0
2025-12-01/2025-12-07,FH|quarta-feira,0.07176274018379283,0.07248630550059074,0.14424904568438357,1,0.07248630550059074,0.0
2025-12-01/2025-12-07,FH|quinta-feira,-0.015611260663653459,0.07248630550059074,0.056875044836937276,1,0.07248630550059074,0.0
2025-12-01/2025-12-07,FH|sábado,0.035222292581302994,0.07248630550059074,0.10770859808189373,1,0.07248630550059074,0.0
2025-12-08/2025-12-14,FT|segunda-feira,0.15999604408868023,-0.0113090205082071,0.14868702358047314,1,-0.0113090205082071,0.0
2025-12-08/2025-12-14,FT|terça-feira,0.03781120425465463,-0.0113090205082071,0.026502183746447534,1,-0.0113090205082071,0.0
2025-12-08/2025-12-14,FT|quarta-feira,0.0662014099253165,-0.0113090205082071,0.05489238941710941,1,-0.0113090205082071,0.0
2025-12-08/2025-12-14,FT|sábado,0.07394382895189813,-0.0113090205082071,0.06263480844369103,1,-0.0113090205082071,0.0
2025-12-08/2025-12-14,FH|terça-feira,0.03306547619047619,0.0,0.03306547619047619,1,-0.0113090205082071,0.0
2025-12-08/2025-12-14,FH|quarta-feira,0.07531746031746032,-0.0113090205082071,0.06400843980925322,1,-0.0113090205082071,0.0
2025-12-08/2025-12-14,FH|quinta-feira,-0.04024863028446357,-0.0113090205082071,-0.05155765079267067,0,-0.0113090205082071,0.0
2025-12-08/2025-12-14,FH|sábado,0.047350066841126734,-0.0113090205082071,0.036041046332919636,1,-0.0113090205082071,0.0
2025-12-15/2025-12-21,FT|segunda-feira,0.17875664003129163,0.07374206192452963,0.25249870195582125,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FT|terça-feira,0.07649543072051976,0.07374206192452963,0.15023749264504938,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FT|quarta-feira,0.08971123883948241,0.07374206192452963,0.16345330076401204,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FT|sábado,0.076161319809315,0.07374206192452963,0.14990338173384463,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FT|domingo,0.03675329106001376,0.0,0.03675329106001376,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FH|terça-feira,0.1323681609395895,0.07374206192452963,0.20611022286411912,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FH|quarta-feira,0.03821951857666143,0.07374206192452963,0.11196158050119107,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FH|quinta-feira,-0.03896684613361262,0.07374206192452963,0.03477521579091701,1,0.07374206192452963,0.0
2025-12-15/2025-12-21,FH|sábado,9.157005125242936e-05,0.07374206192452963,0.07383363197578206,1,0.07374206192452963,0.0
2025-12-22/2025-12-28,FT|segunda-feira,0.17822792911028731,0.14004015580116763,0.318268084911455,1,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FT|terça-feira,0.09289729192683324,0.09837941702722725,0.1912767089540605,1,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FT|quarta-feira,0.16729602718114386,0.03969751038531068,0.20699353756645456,1,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FT|sexta-feira,0.049049348278023944,0.0,0.049049348278023944,1,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FT|sábado,0.07271670272890877,0.014762183407398634,0.08747888613630742,1,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FT|domingo,0.03697662631486161,-0.04275042627349164,-0.005773799958630033,0,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FH|terça-feira,0.1398167485495954,0.050603929366361454,0.19042067791595685,1,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FH|quinta-feira,0.03496967237308147,0.030533200590752246,0.06550287296383371,1,0.04916314947603029,0.01573572109842887
2025-12-22/2025-12-28,FH|sábado,0.04552682563430153,0.13628239024727193,0.18180921588157345,1,0.04916314947603029,0.01573572109842887
