date,bet_id,model,portfolio_score_col,score_portfolio,score_operacional,abs_diff,cutoff_operacional,calib_floor,ts_utc
2026-01-21,23213,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.3272622406018608,0.3272622406018608,0.0,0.0,0.005,2026-01-21 01:13:10.745330+00:00
2026-01-21,23214,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.005,0.005,0.0,0.0,0.005,2026-01-21 01:18:38.117048+00:00
2026-01-21,23216,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.3308078133106058,0.3308078133106058,0.0,0.0,0.005,2026-01-21 02:02:28.187848+00:00
2026-01-21,23217,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.36911556520330424,0.36911556520330424,0.0,0.0,0.005,2026-01-21 02:14:43.853472+00:00
2026-01-21,23219,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.20611005042688768,0.20611005042688768,0.0,0.0,0.005,2026-01-21 02:47:34.263107+00:00
2026-01-21,23220,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.3597786476494515,0.3597786476494515,0.0,0.0,0.005,2026-01-21 02:47:51.379218+00:00
2026-01-21,23231,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4120293614913212,0.4120293614913212,0.0,0.0,0.005,2026-01-21 11:26:30.879702+00:00
2026-01-21,23232,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.20697776978014945,0.20697776978014945,0.0,0.0,0.005,2026-01-21 11:33:20.853865+00:00
2026-01-21,23243,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.33387612104061426,0.33387612104061426,0.0,0.0,0.005,2026-01-21 11:34:56.060655+00:00
2026-01-21,23245,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.41356549446218566,0.41356549446218566,0.0,0.0,0.005,2026-01-21 11:35:15.343418+00:00
2026-01-21,23248,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.3780232647308161,0.3780232647308161,0.0,0.0,0.005,2026-01-21 11:35:36.592635+00:00
2026-01-21,23249,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.42583436161168575,0.42583436161168575,0.0,0.0,0.005,2026-01-21 11:35:53.536791+00:00
2026-01-21,23251,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4743202210214793,0.4743202210214793,0.0,0.0,0.005,2026-01-21 11:36:12.507173+00:00
2026-01-21,23252,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4174708913108366,0.4174708913108366,0.0,0.0,0.005,2026-01-21 11:36:29.027696+00:00
2026-01-21,23256,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.33316255533394906,0.33316255533394906,0.0,0.0,0.005,2026-01-21 11:36:53.140768+00:00
2026-01-21,23262,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.10404978203971231,0.10404978203971231,0.0,0.0,0.005,2026-01-21 11:42:27.424849+00:00
2026-01-21,23263,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.005,0.005,0.0,0.0,0.005,2026-01-21 11:44:43.396306+00:00
2026-01-21,23265,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4055631436416347,0.4055631436416347,0.0,0.0,0.005,2026-01-21 11:45:05.307080+00:00
2026-01-21,23266,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.43532352472483016,0.43532352472483016,0.0,0.0,0.005,2026-01-21 11:46:53.929026+00:00
2026-01-21,23267,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4220734693040663,0.4220734693040663,0.0,0.0,0.005,2026-01-21 11:52:58.809817+00:00
2026-01-21,23269,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.7040502117510519,0.7040502117510519,0.0,0.0,0.005,2026-01-21 12:01:04.568433+00:00
2026-01-21,23270,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.7320075805070183,0.7320075805070183,0.0,0.0,0.005,2026-01-21 12:05:07.255828+00:00
2026-01-21,23272,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.6102872999251798,0.6102872999251798,0.0,0.0,0.005,2026-01-21 12:25:33.009748+00:00
2026-01-21,23273,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.31942718468123793,0.31942718468123793,0.0,0.0,0.005,2026-01-21 12:25:56.891361+00:00
2026-01-21,23277,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.5667758480773133,0.5667758480773133,0.0,0.0,0.005,2026-01-21 12:42:47.669026+00:00
2026-01-21,23279,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.6839565627604823,0.6839565627604823,0.0,0.0,0.005,2026-01-21 13:02:31.468476+00:00
2026-01-21,23280,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.005,0.005,0.0,0.0,0.005,2026-01-21 13:05:22.199367+00:00
2026-01-21,23284,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.5959633237880204,0.5959633237880204,0.0,0.0,0.005,2026-01-21 13:11:56.552913+00:00
2026-01-21,23289,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.431742332506495,0.431742332506495,0.0,0.0,0.005,2026-01-21 13:49:33.383023+00:00
2026-01-21,23290,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4604692870635992,0.4604692870635992,0.0,0.0,0.005,2026-01-21 14:03:45.664742+00:00
2026-01-21,23291,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.5136861491297372,0.5136861491297372,0.0,0.0,0.005,2026-01-21 14:04:02.388324+00:00
2026-01-21,23294,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.50295394239892,0.50295394239892,0.0,0.0,0.005,2026-01-21 14:36:50.796002+00:00
2026-01-21,23298,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.31637895565802365,0.31637895565802365,0.0,0.0,0.005,2026-01-21 15:11:24.840846+00:00
2026-01-21,23299,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4715840403449848,0.4715840403449848,0.0,0.0,0.005,2026-01-21 15:30:09.595948+00:00
2026-01-21,23300,C:\Bets\ModelosEstatísticos\model_logit_quarta.joblib,proba_raw_quarta,0.4958055271223643,0.4958055271223643,0.0,0.0,0.005,2026-01-21 15:54:38.232486+00:00
