week,alpha_effective,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,0.8616388440132141,76,2234.857808291912,-115.92676505470281,-0.05187209880851656
2025-10-27/2025-11-02,1.0,0,0.0,0.0,
2025-11-03/2025-11-09,0.6767485737800598,42,2192.956498026848,164.2760837472975,0.07491078090017192
2025-11-10/2025-11-16,0.6215238571166992,27,1672.5206995010376,121.8652902841568,0.07286324786324787
2025-11-17/2025-11-23,0.6001525521278381,19,936.0315741300583,239.10021646594996,0.2554403324355465
2025-11-24/2025-11-30,0.6001525521278381,44,2233.3473570346832,-3.2007686817348358,-0.001433171007480288
2025-12-01/2025-12-07,0.6830205917358398,29,2048.39999294281,-581.5670388507843,-0.28391282994259476
2025-12-08/2025-12-14,0.7293199300765991,30,1707.7230297327042,409.2071803276539,0.23962151543491436
2025-12-15/2025-12-21,0.925817370414734,38,2309.735756278038,-254.7624060169459,-0.11029937313152911
2025-12-22/2025-12-28,0.9492154717445374,18,1040.6060574054718,283.17713155186175,0.2721271220137842
2025-12-29/2026-01-04,0.9518375992774964,9,437.84529566764843,157.2740302038193,0.35919999999999996
2026-01-05/2026-01-11,1.0,27,1127.0,-65.36600000000003,-0.058000000000000024
2026-01-12/2026-01-18,1.0,57,2476.0,51.87799999999998,0.020952342487883673
