scenario,weeks,profit,stake,roi_on_stake,mean_week,std_week,pneg_week,sharpe_annual,fc_bias,fc_mae,fc_rmse,fc_cov80,fc_cov90,fc_pit_mean,fc_crps_mean,fc_pred_mean_mean,forecast_mean_week,forecast_mean_week_cal,roi_bank_week_forecast,roi_bank_week_forecast_cal
baseline,16,3086.6132505238056,66570.15305751562,0.04636632347618335,192.91332815773785,499.3406905439537,0.375,2.785909138049343,-201.12764239279147,489.4766907507947,564.9593006640246,0.625,0.75,0.41719375000000003,307.1583212810215,394.0409705505293,394.0409705505293,192.91332815773785,,
report_only,16,3086.6132505238056,66570.15305751562,0.04636632347618335,192.91332815773785,499.3406905439537,0.375,2.785909138049343,-201.12764239279147,489.4766907507947,564.9593006640246,0.625,0.75,0.41719375000000003,307.1583212810215,394.0409705505293,394.0409705505293,192.91332815773785,0.17132216110892579,0.08387536006858168
optimizer,16,814.5421995520592,41874.597360789776,0.019451941054716246,50.9088874720037,405.45946406714114,0.5625,0.9054153148426218,-181.29269562257576,380.90694288568676,449.05869854028896,0.5,0.625,0.37459375000000006,260.26882364616984,232.2015830945794,232.2015830945794,50.90888747200364,,
