BIA_ApostaUTC,dow_pt,rf_prob,score_rpa_like,abs_diff,match_6dec
2025-12-19 02:22:00,sexta-feira,0.35,0.3333333333333333,0.016666666666666663,0
2025-12-19 02:31:00,sexta-feira,0.35,0.3442292998056617,0.005770700194338285,0
2025-12-19 02:32:00,sexta-feira,0.35,0.3333333333333333,0.016666666666666663,0
2025-12-19 03:03:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 03:31:00,sexta-feira,0.005,0.005,0.0,1
2025-12-19 03:51:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 04:01:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 04:03:00,sexta-feira,0.35,0.3333333333333333,0.016666666666666663,0
2025-12-19 04:04:00,sexta-feira,0.333333,0.19158330926889988,0.1417496907311001,0
2025-12-19 04:06:00,sexta-feira,0.35,0.3333333333333333,0.016666666666666663,0
2025-12-19 04:06:00,sexta-feira,0.333333,0.3333333333333333,3.3333333332441484e-07,1
2025-12-19 04:07:00,sexta-feira,0.35,0.34025530722481034,0.009744692775189634,0
2025-12-19 04:08:00,sexta-feira,0.35,0.3423248647079777,0.007675135292022295,0
2025-12-19 04:15:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 04:38:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 04:38:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 04:39:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 05:13:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 05:19:00,sexta-feira,0.35,0.3333333333333333,0.016666666666666663,0
2025-12-19 05:41:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 05:44:00,sexta-feira,0.339739,0.35,0.010260999999999965,0
2025-12-19 05:45:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 05:45:00,sexta-feira,0.334657,0.35,0.015342999999999996,0
2025-12-19 05:56:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 06:01:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 06:05:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 06:15:00,sexta-feira,0.375,0.375,0.0,1
2025-12-19 06:37:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 07:19:00,sexta-feira,0.09434,0.3333333333333333,0.23899333333333334,0
2025-12-19 07:27:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 07:34:00,sexta-feira,0.09434,0.005,0.08933999999999999,0
2025-12-19 07:35:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 08:00:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 08:03:00,sexta-feira,0.005,0.005,0.0,1
2025-12-19 08:03:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 08:08:00,sexta-feira,0.09434,0.005,0.08933999999999999,0
2025-12-19 09:06:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 09:22:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 09:34:00,sexta-feira,0.09434,0.005,0.08933999999999999,0
2025-12-19 09:35:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 09:35:00,sexta-feira,0.005,0.005,0.0,1
2025-12-19 09:39:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 09:42:00,sexta-feira,0.09434,0.005,0.08933999999999999,0
2025-12-19 10:09:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 10:09:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 10:23:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 10:24:00,sexta-feira,0.005,0.005,0.0,1
2025-12-19 11:31:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 11:39:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 11:54:00,sexta-feira,0.35,0.375,0.025000000000000022,0
2025-12-19 12:04:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 12:06:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 12:10:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 12:14:00,sexta-feira,0.375,0.375,0.0,1
2025-12-19 12:15:00,sexta-feira,0.375,0.35,0.025000000000000022,0
2025-12-19 12:20:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 12:34:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 12:43:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 12:47:00,sexta-feira,0.09434,0.32165279532220303,0.22731279532220305,0
2025-12-19 12:51:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 13:09:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 13:20:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 13:25:00,sexta-feira,0.375,0.35,0.025000000000000022,0
2025-12-19 13:41:00,sexta-feira,0.005,0.005,0.0,1
2025-12-19 15:14:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 15:15:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 15:15:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 15:18:00,sexta-feira,0.375,0.375,0.0,1
2025-12-19 15:21:00,sexta-feira,0.375,0.375,0.0,1
2025-12-19 15:35:00,sexta-feira,0.35,0.375,0.025000000000000022,0
2025-12-19 16:13:00,sexta-feira,0.005,0.005,0.0,1
2025-12-19 16:23:00,sexta-feira,0.35,0.375,0.025000000000000022,0
2025-12-19 16:34:00,sexta-feira,0.09434,0.3333333333333333,0.23899333333333334,0
2025-12-19 17:00:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 17:14:00,sexta-feira,0.35,0.09433962264150944,0.25566037735849056,0
2025-12-19 17:49:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 18:04:00,sexta-feira,0.005,0.005,0.0,1
2025-12-19 18:05:00,sexta-feira,0.09434,0.005,0.08933999999999999,0
2025-12-19 18:11:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 18:20:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 18:22:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 18:24:00,sexta-feira,0.375,0.375,0.0,1
2025-12-19 18:38:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 18:59:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 19:42:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 20:47:00,sexta-feira,0.35,0.35,0.0,1
2025-12-19 21:50:00,sexta-feira,0.254791,0.09433962264150944,0.16045137735849055,0
2025-12-19 22:35:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-19 23:54:00,sexta-feira,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-20 00:04:00,sábado,0.333333,0.09433962264150944,0.23899337735849055,0
2025-12-20 00:11:00,sábado,0.375,0.09433962264150944,0.2806603773584906,0
2025-12-20 01:13:00,sábado,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-20 01:34:00,sábado,0.375,0.375,0.0,1
2025-12-20 02:16:00,sábado,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 15:41:00,domingo,0.09434,0.005,0.08933999999999999,0
2025-12-21 15:43:00,domingo,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 15:59:00,domingo,0.35,0.3333333333333333,0.016666666666666663,0
2025-12-21 16:04:00,domingo,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 16:06:00,domingo,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 16:09:00,domingo,0.339647,0.09433962264150944,0.24530737735849054,0
2025-12-21 16:14:00,domingo,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 16:14:00,domingo,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 16:18:00,domingo,0.333333,0.09433962264150944,0.23899337735849055,0
2025-12-21 16:20:00,domingo,0.005,0.005,0.0,1
2025-12-21 16:20:00,domingo,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 16:34:00,domingo,0.375,0.375,0.0,1
2025-12-21 16:40:00,domingo,0.09434,0.09433962264150944,3.7735849055253734e-07,1
2025-12-21 17:06:00,domingo,0.35,0.32694289258774667,0.023057107412253308,0
2025-12-21 17:08:00,domingo,0.09434,0.35,0.25566,0
2025-12-21 17:10:00,domingo,0.375,0.35,0.025000000000000022,0
2025-12-21 17:35:00,domingo,0.35,0.09433962264150944,0.25566037735849056,0
2025-12-21 17:42:00,domingo,0.375,0.3333333333333333,0.041666666666666685,0
2025-12-22 22:11:00,segunda-feira,0.292769,0.2927689594356261,4.056437391541934e-08,1
