name,profit_cap2_total,stake_total,roi_total_cap2,weeks,weeks_with_stake
baseline,368.29474499320975,23186.753624796867,0.015883842600515678,17,14
region_gating,637.2008430715796,20209.573166429996,0.03152965368561223,17,14
