week,alpha_effective,n_bets,stake_usd,profit_cap2_usd,roi_on_stake_cap2
2025-09-29/2025-10-05,1.0,0,0.0,0.0,
2025-10-06/2025-10-12,1.0,0,0.0,0.0,
2025-10-13/2025-10-19,1.0,0,0.0,0.0,
2025-10-20/2025-10-26,1.0,19,856.7085271493212,63.25365162466066,0.07383333960166802
2025-10-27/2025-11-02,1.0,12,271.57728836206894,-11.81538229195402,-0.04350651839560921
2025-11-03/2025-11-09,0.9,59,3797.1475945217603,-107.98836737784899,-0.02843933892210208
2025-11-10/2025-11-16,0.6,27,1614.8268641017485,117.47485192368839,0.07274764529572901
2025-11-17/2025-11-23,0.6,19,934.1821341717067,239.7711123705348,0.2566642024075188
2025-11-24/2025-11-30,0.6,46,2325.5603346730713,-129.11652154233326,-0.055520607062849885
2025-12-01/2025-12-07,0.7,30,2050.127264326923,-459.41582401782057,-0.22409136838080698
2025-12-08/2025-12-14,0.7,33,1413.509532149064,276.5828721037745,0.1956710342683469
2025-12-15/2025-12-21,1.0,31,1963.8642210629623,-284.4491546524723,-0.14484155859742237
2025-12-22/2025-12-28,1.0,15,761.9194298158243,153.108824482255,0.20095146348907963
2025-12-29/2026-01-04,0.8,12,668.6663556345233,272.7088777275745,0.40783998690765666
2026-01-05/2026-01-11,1.0,26,1474.9929543765445,-72.81170807466879,-0.04936410567835228
2026-01-12/2026-01-18,1.0,83,3942.703141097805,57.86215724832772,0.014675758021238341
2026-01-19/2026-01-25,1.0,6,552.0,335.43199999999996,0.6076666666666666
