region,stake_removed,pnl_removed,n_bets,n_weeks
europa_ocidental,1218.3589597940445,42.91977061152457,18,4
desconhecida,944.3856880664825,-13.296916123390197,12,3
europa_oriental,230.0,-64.86,4,3
