label,dd_usd_p50,dd_usd_p90,dd_usd_p95,dd_usd_p99,dd_pct_p50,dd_pct_p90,dd_pct_p95,dd_pct_p99,end_bank_p05,end_bank_p50,end_bank_p95,p_ruin_end_le_0
raw,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,260268.60600000017,295008.0025000002,331266.6502500001,0.0
winsor_p995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257816.9131975001,291987.23465,327806.97994250007,0.0
cap2,1558.5,2634.0000000000005,3048.0,3778.5,0.025263646493053415,0.04555898605078522,0.05377764580829991,0.07356357662968091,48721.350000000006,64749.25,81359.59999999999,0.0
cap1,3790.5,6220.0,7131.549999999999,9350.055,0.11218670834598743,0.24759608079030013,0.3244668643881561,0.5831393892308909,17657.200000000004,33079.75,48785.899999999994,0.0005
