week,n_bets,stake_usd,profit_usd,roi_on_stake
2025-01-06/2025-01-12,1,161.00000000000003,161.00000000000003,1.0
2025-04-07/2025-04-13,23,3346.0000000000005,-762.5000000000001,-0.22788404064554693
2025-08-18/2025-08-24,22,3357.0000000000005,224.0,0.0667262436699434
2025-08-25/2025-08-31,15,2415.0000000000005,644.0000000000001,0.26666666666666666
2025-09-01/2025-09-07,6,966.0000000000001,-241.50000000000003,-0.25
2025-09-08/2025-09-14,18,2347.0000000000005,-85.5,-0.036429484448231776
2025-09-29/2025-10-05,33,4581.000000000001,531.5000000000001,0.11602270246671033
2025-10-06/2025-10-12,54,7104.000000000001,1051.0,0.1479448198198198
2025-10-13/2025-10-19,115,13985.000000000002,3439.5000000000005,0.24594208080085805
2025-10-20/2025-10-26,121,17025.000000000004,469.0,0.027547723935389127
2025-10-27/2025-11-02,78,10294.000000000002,2938.5000000000005,0.28545754808626383
2025-11-03/2025-11-09,93,13013.000000000002,-448.5,-0.03446553446553446
2025-11-10/2025-11-16,94,14064.000000000002,371.5,0.026414960182025025
2025-11-17/2025-11-23,91,12536.000000000002,1278.0000000000002,0.10194639438417358
2025-11-24/2025-11-30,132,17396.000000000004,3202.5000000000005,0.18409404460795584
2025-12-01/2025-12-07,111,13311.000000000002,-1110.0000000000002,-0.08338967771016453
2025-12-08/2025-12-14,78,9504.000000000002,2592.0,0.27272727272727265
2025-12-15/2025-12-21,59,7825.000000000001,-414.0,-0.05290734824281149
2025-12-22/2025-12-28,44,6248.000000000001,1790.0000000000002,0.28649167733674774
2025-12-29/2026-01-04,19,2910.0000000000005,1279.0000000000002,0.4395189003436426
2026-01-05/2026-01-11,45,6773.000000000001,695.5,0.10268714011516314
2026-01-12/2026-01-18,53,7071.000000000001,-1133.0000000000002,-0.16023193324847973
