name,n,mean,std,p_neg,q01,q05,q10,q25,q50,q75,q90,q95,q99,var05,cvar05
4w_profit_usd,50000,22550.675599000006,6033.712593807692,0.0,10493.615000000002,13382.135000000002,14998.830000000002,18175.155000000002,22205.875000000004,26552.275,30736.53149999998,32961.65624999994,37601.145000000004,13382.135000000002,11701.936265469065
13w_profit_usd,50000,73325.5143664,10839.418902473679,0.0,49892.50385000001,56172.44500000001,59578.9,65765.43125000001,72980.0375,80513.40625000001,87429.533,91798.32650000001,99961.28560000005,56172.44500000001,52384.458668532585
26w_profit_usd,50000,146515.6423925,15309.644235122103,0.0,112584.47140000002,121856.90225000001,126960.7385,135937.92625000002,146191.64,156801.53875,166407.5265,172134.48550000004,183269.07695000005,121856.90225000001,116171.59638600002
52w_profit_usd,50000,293182.0647346,21664.856927954053,0.0,244222.66355000003,258126.89475000004,265581.3570000001,278373.86625,292921.7775,307541.8350000001,321286.73600000003,329447.45025000005,344841.95360000007,258126.89475000004,249762.06213600005
