name,n,mean,std,p_neg,q01,q05,q10,q25,q50,q75,q90,q95,q99,var05,cvar05
4w_profit_usd,50000,2389.67669,2635.4826142070906,0.19032,-3737.6750000000006,-2014.5000000000002,-1072.9999999999975,572.0000000000001,2452.0,4248.5,5813.000000000001,6674.000000000001,8091.0,-2014.5000000000002,-3039.3748502994013
13w_profit_usd,50000,7717.389,4763.717450393962,0.0538,-3437.5499999999993,-166.04999999999967,1522.4500000000012,4490.000000000002,7762.500000000002,10987.125000000002,13827.550000000003,15499.5,18508.090000000022,-166.04999999999967,-2169.2616
26w_profit_usd,50000,15407.23448,6706.03864111923,0.01012,-31.024999999998858,4308.450000000001,6790.400000000003,10832.375000000002,15438.250000000002,19970.125,24054.550000000003,26447.500000000004,30776.005,4308.450000000001,1611.8390000000009
52w_profit_usd,50000,30831.22565,9518.612938245386,0.00058,8301.49,15174.975,18611.450000000004,24469.875,30833.500000000004,37293.12500000001,43067.5,46343.549999999996,52797.025000000016,15174.975,10983.02
