week,n_bets,stake_usd,profit_usd,roi_on_stake
2025-09-29/2025-10-05,22,2991.0000000000005,833.5000000000001,0.27866934135740556
2025-10-06/2025-10-12,54,7104.000000000001,1051.0,0.1479448198198198
2025-10-13/2025-10-19,115,13985.000000000002,3439.5000000000005,0.24594208080085805
2025-10-20/2025-10-26,121,17025.000000000004,469.0,0.027547723935389127
2025-10-27/2025-11-02,78,10294.000000000002,2938.5000000000005,0.28545754808626383
2025-11-03/2025-11-09,93,13013.000000000002,-448.5,-0.03446553446553446
2025-11-10/2025-11-16,94,14064.000000000002,371.5,0.026414960182025025
2025-11-17/2025-11-23,91,12536.000000000002,1278.0000000000002,0.10194639438417358
2025-11-24/2025-11-30,132,17396.000000000004,3202.5000000000005,0.18409404460795584
2025-12-01/2025-12-07,111,13311.000000000002,-1110.0000000000002,-0.08338967771016453
2025-12-08/2025-12-14,78,9504.000000000002,2592.0,0.27272727272727265
2025-12-15/2025-12-21,59,7825.000000000001,-414.0,-0.05290734824281149
2025-12-22/2025-12-28,44,6248.000000000001,1790.0000000000002,0.28649167733674774
2025-12-29/2026-01-04,16,2427.0000000000005,796.0000000000001,0.3279769262463947
