strategy,month,bets,B_star,stake,profit,roi_turnover,giro
S1_lucro_max_diversificada,2025-10,467,30517.906976744183,152589.53488372092,680.044052325582,0.004456688676872904,5.0
S1_lucro_max_diversificada,2025-11,426,38077.03703703704,190385.1851851852,-11421.692407407409,-0.059992548245272746,5.0
S1_lucro_max_diversificada,2025-12,234,12362.028985507248,61810.14492753624,7704.841768115943,0.12465335224741494,5.0
S2_lucro_alto_banca_menor,2025-10,388,21852.325581395347,109261.62790697673,511.3796918604653,0.004680322832969725,5.0
S2_lucro_alto_banca_menor,2025-11,328,24211.60493827161,121058.02469135803,-11368.69813580247,-0.09391114851565925,5.0
S2_lucro_alto_banca_menor,2025-12,186,7295.081967213116,36475.40983606558,6113.289278688524,0.16760029033707863,5.0
