Seg,TerFT,TerFH,Sex,Sab,mean_profit,sd_profit,p_neg,mean_stake,mean_roi_turn,is_flat,is_old_up,no_destroy
"[150, 250, 300]","[300, 300]",[300],"[200, 200, 300]",[300],1578.9026141399997,2947.6536934542182,0.28292,64277.494,0.027639199560276766,False,False,False
"[250, 300, 300]","[250, 300]",[300],"[200, 250, 300]",[300],1697.8247538199996,2860.8171511019577,0.26486,64954.30996,0.029122846898809444,False,False,False
"[250, 300, 300]","[200, 300]",[300],"[200, 250, 300]",[300],1703.3040398199998,2805.3675601784134,0.26204,64627.59816,0.029384970844798228,False,False,False
"[250, 300, 300]","[250, 300]",[300],"[300, 300, 300]",[300],2032.6172382599998,2952.240653427261,0.23664,69574.95238,0.03267229847412951,False,False,False
"[250, 300, 300]","[200, 300]",[300],"[300, 300, 300]",[300],2038.0965242599998,2901.5250823462065,0.23344,69248.24058,0.03293350970545176,False,False,False
"[300, 300, 300]","[250, 300]",[300],"[200, 250, 300]",[300],1699.57260782,2850.637086788938,0.26354,65011.17158,0.029106643232988363,False,False,False
"[300, 300, 300]","[200, 300]",[300],"[200, 250, 300]",[300],1705.0518938199998,2794.940570956753,0.26056,64684.45978,0.029368085311791223,False,False,False
"[300, 300, 300]","[250, 300]",[300],"[300, 300, 300]",[300],2034.3650922599995,2941.448626369055,0.2355,69631.814,0.03265122026805609,False,False,False
"[300, 300, 300]","[200, 300]",[300],"[300, 300, 300]",[300],2039.8443782599998,2890.5002280306453,0.23202,69305.1022,0.03291178117478043,False,False,False
"[180, 230, 300]","[200, 300]",[250],"[80, 130, 250]",[300],1094.33899872,2546.7111769181147,0.31712,53599.46714,0.022155758057062557,False,True,False
