strategy,bootstrap,mean,sd,var,p05,p50,p95,p_neg
S1_lucro_max_diversificada,iid_days_30,570.2008897314489,3422.645333725504,11714501.080472967,-5123.725156521741,591.1272681159421,6226.336707971008,0.42126
S1_lucro_max_diversificada,block7_days_30,558.80626049942,3348.605528960759,11213158.988586564,-5623.572094565218,678.736949275363,5541.171347826085,0.35382
S2_lucro_alto_banca_menor,iid_days_30,512.4771858527868,1751.3894549529093,3067365.0229202486,-2340.55497295082,488.3221393442623,3449.7162147540957,0.37268
S2_lucro_alto_banca_menor,block7_days_30,506.906869229836,1844.8028179755609,3403297.4372105706,-2858.8512098360643,564.431967213115,3439.695849999999,0.324
