strategy,B_min,name,bets,stake_total,profit_total,roi_turn_total,roi_bank_total
S1_cap300,6000.0,S1_cap300,1224,260860.0,8176.9400000000005,0.03134608602315418,1.3628233333333335
Custom,6000.0,Custom,914,132927.0,1159.7489999999996,0.00872470604166196,0.19329149999999992
