test_month,train_end,rules,caps_by_dow,train_bets,train_days,train_mean_profit,train_p_neg,train_sharpe,oos_bets,oos_stake,oos_profit,oos_roi_turn,oos_roi_bank,oos_bank_min
2025-10,2025-09,"[('Dom', 'FT', 0.1899), ('Sex', 'FT', 0.3333)]","{'Dom': np.int64(300), 'Sex': np.int64(400)}",68,10,153.69577212500002,0.2965,0.5716015301015008,187,51757.0,525.9480000000005,0.010161871824101098,0.06574350000000007,8000.0
2025-11,2025-10,"[('Dom', 'FH', 0.3334), ('Qua', 'FH', 0.2118), ('Qua', 'FT', 0.3), ('Seg', 'FT', 0.1667), ('Sex', 'FT', 0.3333), ('Sáb', 'FT', 0.375), ('Ter', 'FH', 0.4741)]","{'Dom': np.int64(300), 'Qua': np.int64(500), 'Seg': np.int64(700), 'Sex': np.int64(400), 'Sáb': np.int64(500), 'Ter': np.int64(500)}",424,41,1052.0113396250001,0.2735,1.6458477802868348,357,101730.0,-1206.9280000000008,-0.011864032242209778,-0.08620914285714291,14000.0
2025-12,2025-11,"[('Dom', 'FH', 0.35), ('Qua', 'FH', 0.2243), ('Qua', 'FT', 0.3), ('Seg', 'FT', 0.0325), ('Sex', 'FT', 0.1307), ('Sáb', 'FT', 0.375), ('Ter', 'FH', 0.4909), ('Ter', 'FT', 0.5327)]","{'Dom': np.int64(700), 'Qua': np.int64(500), 'Seg': np.int64(500), 'Sex': np.int64(100), 'Sáb': np.int64(500), 'Ter': np.int64(100)}",893,62,1410.4794508749999,0.248125,2.2300594913357803,224,37559.0,552.8944999999997,0.014720692776697986,0.03949246428571426,14000.0
