thr,Tipo,DOW,oos_n,oos_meanROI_unit,oos_sd,oos_p_one,oos_profit_stakemax_proxy,oos_roi_stakemax_proxy,dec_bets,dec_profit_stakemax,dec_roi_stakemax,dec_Bmax
0.35,FT,Dom,53,-0.33371698113207543,0.8364442456328154,0.99730579721125,-125155.581,-0.8061395335355839,16,-30039.025,-0.7461072750304265,300000.0
0.35,FH,Ter,66,0.3034242424242424,0.7753162146079705,0.0011306129427928837,1861.8549999999998,0.23122888723298557,39,978.9129999999998,0.22786615456238357,5560.0
0.35,FH,Qua,37,-0.012297297297297288,0.908733883086941,0.5325735083947016,-71.14299999999994,-0.012890559884036952,18,-79.43999999999991,-0.028699421965317887,8700.0
0.35,FH,Sex,53,-0.07196226415094341,0.768453040511714,0.7507889310689324,-370.53999999999985,-0.035783679381941075,18,1169.5300000000002,0.35195004513993383,6300.0
0.35,FH,Sáb,112,0.1699107142857143,0.8344647478352009,0.01666637901690635,2122.5009999999993,0.10203350639361597,44,708.123,0.09031029205458488,15000.0
0.4,FT,Ter,191,0.300782722513089,0.9148892648925918,4.9079368154363764e-06,19017.873,0.34945193120429235,121,10059.828,0.39792049365135873,59920.0
0.4,FT,Qua,110,0.04081818181818179,0.92914152872441,0.32294691619024896,-1104.0615000000003,-0.03994578313253013,70,1562.4685,0.09773980357813086,33340.0
0.4,FT,Sex,56,-0.0570982142857143,0.9344514843169804,0.6753560705781474,-16251.796,-0.44103764009878155,20,-5023.549999999999,-0.3656682195370505,122760.0
0.4,FT,Sáb,124,0.06059274193548386,0.8961401090161865,0.226464838751748,-24888.05899999999,-0.1477764061822737,52,-57761.236999999994,-0.6086729506728347,750000.0
0.4,FT,Dom,45,-0.30104444444444445,0.8521974257912615,0.9888738242226272,-87419.23599999999,-0.7626741463244402,13,-30347.43,-0.7845970681765299,300000.0
0.4,FH,Ter,60,0.3432666666666667,0.7587237693601607,0.00044007469549246265,1756.9649999999997,0.2363418079096045,36,1064.9129999999998,0.26326650185414086,5560.0
0.4,FH,Qua,31,-0.05951612903225806,0.888218999682989,0.6441418775637717,-306.09299999999985,-0.06259570552147237,17,-255.83999999999995,-0.09553398058252426,8700.0
0.4,FH,Sáb,101,0.16684158415841588,0.8504852465818944,0.025714535452697047,1497.7149999999997,0.07720976389318485,38,634.143,0.08755253348060196,15000.0
0.45,FT,Ter,182,0.31848076923076934,0.9091089277120833,2.291451186168647e-06,17867.383,0.3476550375530218,116,10055.876000000002,0.4267474113053812,59920.0
0.45,FT,Qua,96,0.07788541666666667,0.929375892677635,0.20682022646841475,-562.8205000000007,-0.024287770249859782,65,1511.6054999999997,0.10466732447029495,33340.0
0.45,FT,Sex,37,-0.09531081081081083,0.9384029529483068,0.7297046853236315,-9894.762999999999,-0.40799781461322776,12,-5852.04,-0.5212469938541017,122760.0
0.45,FT,Sáb,105,0.09446666666666666,0.8968410916041613,0.141466811420961,-20648.939999999995,-0.12934609530133234,45,-57371.36299999999,-0.6175936595080466,750000.0
0.45,FT,Dom,34,-0.2737352941176471,0.8639264597218252,0.9631748246306405,-76469.256,-0.774207571048182,11,-29841.43,-0.8564540940791551,300000.0
0.45,FH,Ter,53,0.4001132075471697,0.7265601690467782,9.771254227223062e-05,1688.405,0.26213398540599286,32,1093.9329999999998,0.30858476727785605,5560.0
0.45,FH,Sáb,51,0.08231372549019607,0.8892698913197516,0.25581254816307175,-139.88299999999998,-0.012517494407158835,21,926.3489999999999,0.2370998208343998,12820.0
0.5,FT,Ter,166,0.3318885542168675,0.9067636914047773,2.5495214690916762e-06,16765.943000000003,0.34188998552172767,102,9310.356000000002,0.43273790378805493,59920.0
0.5,FT,Qua,84,0.10343452380952381,0.9409565396534729,0.15831660840973125,368.6975000000001,0.017915330417881445,59,1636.7985000000003,0.1227537498125094,33340.0
0.5,FT,Sex,32,-0.077078125,0.9325408242328521,0.678315591297338,-9514.753,-0.41474883396538953,8,-5582.030000000001,-0.5567554358667465,122760.0
0.5,FT,Sáb,74,0.15816216216216217,0.9181002127983996,0.07133116332165615,-15282.82699999999,-0.10601515708567735,34,-58294.674999999996,-0.6550920359153584,750000.0
0.5,FH,Ter,51,0.38445098039215686,0.7352565895991817,0.00024164543806403255,1472.4769999999999,0.24067947041516832,30,878.005,0.27250310366232156,5560.0
0.5,FH,Sáb,38,0.05905263157894738,0.8741525918921745,0.3397500116515074,404.707,0.046299851275597756,16,1266.679,0.39264693118412897,12820.0
0.55,FT,Ter,160,0.33677187499999994,0.9115123911067344,3.1387135423307544e-06,15812.242999999999,0.3418493784455734,99,9137.356,0.438684334341543,59920.0
0.55,FT,Qua,74,0.037141891891891876,0.9390758263703118,0.36732826708555383,-167.48249999999894,-0.008517647357981942,51,1049.1065000000003,0.0832492064751627,33340.0
0.55,FT,Sáb,56,0.15325000000000003,0.9378911789948574,0.11331665542961407,-15698.42699999999,-0.12390527794659692,28,-58860.356,-0.6817117509439207,750000.0
0.55,FH,Ter,41,0.37309756097560975,0.732476443473715,0.0011347496829956958,1252.697,0.24447638563622168,22,676.425,0.2654729199372056,5560.0
0.55,FH,Sáb,33,0.05766666666666667,0.8684367300884197,0.35269331253528036,636.7389999999999,0.08844825670231976,15,1109.699,0.36276528277214776,12820.0
0.6,FT,Ter,155,0.3325193548387097,0.9124072055359201,5.7027078510614085e-06,16091.423999999999,0.35426498172691645,97,9039.106,0.4388341586561802,59920.0
0.6,FT,Qua,66,0.0753560606060606,0.9445398137357338,0.2595882269819989,103.66249999999945,0.005447606285143699,45,1188.2514999999994,0.09774216500781438,33340.0
0.6,FT,Sáb,49,0.10728571428571428,0.9214726664421469,0.20954898738801964,-56153.867,-0.566306974727203,24,-59021.556,-0.6963209457068026,750000.0
0.6,FH,Ter,38,0.3891315789473684,0.7378558114125533,0.001226988991222933,1228.627,0.2575737945492662,20,760.425,0.3304758800521512,5560.0
0.65,FT,Ter,147,0.32871088435374146,0.9028999074617396,9.805140080909473e-06,15581.694,0.35323027747551683,93,8035.876,0.4043208050314466,59920.0
0.65,FT,Qua,56,0.07927678571428569,0.9674538556984743,0.27113231255227144,697.8224999999998,0.040093220338983035,37,1953.8264999999997,0.18190359370635878,33340.0
0.65,FT,Sáb,39,0.009128205128205141,0.9201300016698778,0.4754621421686166,-55079.712,-0.6022997736443263,19,-57263.555,-0.7228147760120167,750000.0
0.65,FH,Ter,33,0.38475757575757574,0.7252171239662915,0.0022984915234183245,1306.0169999999998,0.30009581801470586,19,927.425,0.43459465791940016,5560.0
0.7,FT,Ter,134,0.22545149253731336,0.8786913348355319,0.0017666628842548768,14176.544000000002,0.329418938073661,80,6630.726,0.35273571656559205,59920.0
0.7,FT,Qua,51,0.11528431372549018,0.9614438946444143,0.19795566998467157,807.8224999999998,0.048242609734249015,34,2160.8264999999997,0.20569504997620178,33340.0
0.7,FT,Sáb,36,0.01599999999999999,0.934389395732391,0.45937751571704744,-55423.332,-0.6159242976529161,18,-57793.175,-0.7358063633122836,750000.0
0.75,FT,Ter,116,0.14654741379310343,0.8554425856231388,0.033799053949361384,11183.473,0.2837364708867183,76,7176.133,0.39555357733436225,59920.0
0.75,FT,Qua,40,0.14066249999999997,0.9918775991192741,0.18763442218021148,792.0414999999996,0.04971075754722899,30,2254.9154999999996,0.22122196605513583,33340.0
0.75,FT,Sáb,35,0.03074285714285713,0.9437731015593158,0.4241651969932141,-55048.332,-0.616898626084228,18,-57793.175,-0.7358063633122836,750000.0
0.8,FT,Ter,98,0.2876173469387755,0.8241100754754217,0.0004089531481192124,13502.88,0.36757533687219274,62,8096.540000000001,0.4801933455904158,59920.0
0.8,FT,Qua,34,-0.008720588235294117,1.0015837246291832,0.5200921429798984,-25.952500000000782,-0.0017221300597213525,25,1582.4415,0.16768480449295325,33340.0
0.8,FT,Sáb,35,0.03074285714285713,0.9437731015593158,0.4241651969932141,-55048.332,-0.616898626084228,18,-57793.175,-0.7358063633122836,750000.0
0.85,FT,Ter,83,0.37486144578313246,0.7933849921775168,2.3005285538348538e-05,13257.049,0.3741124562591715,53,7755.4540000000015,0.48583937856292686,59920.0
0.85,FT,Qua,32,-0.09895312500000002,0.9517616803165337,0.7196484904219271,-589.2725000000005,-0.04013571039367937,24,1415.1215000000002,0.15300264893502002,33340.0
0.85,FT,Sáb,34,0.061058823529411756,0.9405089190103237,0.3537227376460357,-54964.332,-0.6165376556365676,17,-57709.175,-0.7355235151669641,750000.0
0.9,FT,Ter,76,0.3875197368421053,0.8035559405575091,3.581067495466564e-05,13587.609000000002,0.3931031100824534,48,7630.513999999999,0.48747933303520086,59920.0
0.9,FT,Qua,32,-0.09895312500000002,0.9517616803165337,0.7196484904219271,-589.2725000000005,-0.04013571039367937,24,1415.1215000000002,0.15300264893502002,33340.0
