Tipo,DOW_name,n,meanROI,sd,se,lcb80,lcb70,folds_seen,pos_rate
FH,Sáb,2,1.149,0.0,0.0,1.149,1.149,1,1.0
FT,Ter,46,0.8945652173913043,0.5876276467353536,0.0866409697253594,0.8216481772704418,0.8491306928673259,2,0.9130434782608695
FH,Ter,10,0.2509,0.8786361211180276,0.2778491377228537,0.01706216569244634,0.10519591217813554,2,0.5
FH,Qui,6,0.10316666666666667,1.0437280137404892,0.42610017731879807,-0.2554392425648338,-0.12028026631931103,1,0.5
FT,Qua,6,-0.425,0.890786169627706,0.36366193091936366,-0.7310578810617365,-0.6157043165741143,1,0.3333333333333333
FT,Sáb,1,1.041,,,,,1,1.0
FH,Qua,1,-0.5,,,,,1,0.0
