DOW,mean_profit,sd_profit_standalone,sd_contrib_to_total,corr_with_total,mean_stake,mean_profit_share,sd_contrib_share
Seg,613.5311667999999,1365.9991822922793,89.68823298036232,0.06565760371090176,4750.11976,0.18826713856878324,0.0316267751843378
Ter,166.47733093999986,1544.4352188555777,321.10616195321825,0.2079117065144092,14318.96902,0.05108495285759319,0.11323171453967217
Qua,1295.2862649400001,2081.754228084634,491.68987219454584,0.23619016383453503,15278.981,0.39746935758716656,0.17338467412684513
Sáb,1183.5382522799998,2922.0413005944206,1933.348107738145,0.6616429779226085,34293.06888,0.36317855098645707,0.6817568361491448
