strategy,bank_used,note,mean,sd,var,p05,p50,p95,p_neg
S3_tuesday_only,500.0,iid_days_30,31.035408999999994,131.97975607703725,17418.65601415425,-208.25,0.0,247.5,0.27778
S3_tuesday_only,500.0,block7_days_30,30.370034749999995,130.69582970610125,17081.39990256622,-208.25,0.0,240.45,0.30258
