ts,Tipo,DOW_name,ROI,score_retro,model_used,n_casas,dif_odd_1_2,dif_odd_1_med,dif_odds_rb_bia,m2ms,tempo_total_bot,Subtipo,dow_pt,turno,Casa_vencedora
2025-04-09 15:39:00,FH,Qua,-1.0,0.34377920455477606,global_fallback,2.0,1.0,0.5,0.005025125628140708,2780.0,,"-0,25",quarta-feira,tarde,pin88
2025-04-09 16:07:00,FH,Qua,0.5680000000000001,0.5340053243470942,global_fallback,3.0,0.05,0.05,-0.08801498127340811,939.0,,"-0,75",quarta-feira,tarde,sbo
2025-04-09 16:55:00,FT,Qua,-1.0,0.49686894564178463,global_fallback,8.0,0.01,0.03,0.003488372093023259,1474.0,,"-0,25",quarta-feira,tarde,sbo
2025-04-09 17:12:00,FT,Qua,-1.0,0.3899957706447283,global_fallback,5.0,0.07,0.13,0.034825870646766094,1368.0,,"+2,5",quarta-feira,tarde,sing2
2025-04-09 17:12:00,FT,Qua,-1.0,0.3899957706447283,global_fallback,5.0,0.07,0.13,0.034825870646766094,1368.0,,"+2,5",quarta-feira,tarde,sing2
2025-04-09 17:12:00,FT,Qua,-1.0,0.3899957706447283,global_fallback,5.0,0.07,0.13,0.034825870646766094,1368.0,,"+2,5",quarta-feira,tarde,sing2
2025-04-09 18:36:00,FT,Qua,-1.0,0.3127479218564089,global_fallback,3.0,0.0,0.0,-0.049327354260089634,2843.0,,0,quarta-feira,noite,pin88
2025-08-16 22:03:00,FH,Sáb,-1.0,0.26414196524023364,global_fallback,,,,,200.0,,0,sábado,noite,nan
2025-08-18 09:55:00,FT,Seg,1.0299999999999998,0.5501383120924058,global_fallback,5.0,0.02,0.03,0.0049261083743841316,425.0,,"-1,25",segunda-feira,manhã,sing2
2025-08-18 11:22:00,FT,Seg,0.97,0.34885133199943785,global_fallback,9.0,0.0,0.02,0.0050761421319797,163.0,,0,segunda-feira,manhã,bf
2025-08-18 11:24:00,FT,Seg,0.8300000000000001,0.5065520781554983,global_fallback,4.0,0.03,0.04,0.0,156.0,,"-0,5",segunda-feira,manhã,sing2
2025-08-19 20:16:00,FH,Ter,-1.0,0.41371032492245935,global_fallback,3.0,0.08,0.08,0.003468208092485552,920.0,,"-0,25",terça-feira,noite,sbo
2025-08-19 21:22:00,FT,Ter,-1.0,0.4835984917289435,global_fallback,8.0,0.05,0.05,-792.0711610486891,571.0,,0,terça-feira,noite,sbo
2025-08-19 21:24:00,FT,Ter,-1.0,0.6812787966851234,global_fallback,9.0,0.03,0.06,-951.7153558052435,571.0,,"-0,25",terça-feira,noite,sbo
2025-08-19 21:35:00,FT,Ter,0.0,0.36544438866533924,global_fallback,5.0,0.08,0.09,0.0049261083743841316,144.0,,-1,terça-feira,noite,sing2
2025-08-19 23:47:00,FH,Ter,1.0299999999999998,0.45095661943136905,global_fallback,6.0,0.02,0.03,-0.004926108374384351,613.0,,"-0,25",terça-feira,noite,sing2
2025-08-20 00:23:00,FT,Ter,0.5800000000000001,0.48774684422818415,global_fallback,6.0,0.03,0.05,0.0031645569620253893,1447.0,,"-0,25",quarta-feira,madrugada,sbo
2025-08-20 02:06:00,FT,Ter,0.74,0.35504094147809145,global_fallback,2.0,0.08,0.04,0.005747126436781614,999.0,,0,quarta-feira,madrugada,sing2
2025-08-20 09:47:00,FT,Qua,-1.0,0.5873776567210325,global_fallback,5.0,0.0,0.02,-0.0016429353778750775,373.0,,"+0,75",quarta-feira,manhã,bf
2025-08-20 09:50:00,FH,Qua,-1.0,0.5396697939220171,global_fallback,5.0,0.02,0.07,0.0,1929.0,,"-1,25",quarta-feira,manhã,sbo
2025-08-20 09:52:00,FH,Qua,-1.0,0.5294561704303958,global_fallback,7.0,0.0,0.03,0.08121827411167509,1489.0,,"-0,5",quarta-feira,manhã,sing2
2025-08-20 10:58:00,FT,Qua,1.02,0.4398533132367732,global_fallback,4.0,0.07,0.07,0.0,497.0,,-1,quarta-feira,manhã,sing2
2025-08-20 11:44:00,FH,Qua,1.092,0.35840805899985123,global_fallback,3.0,0.06,0.06,0.0,1876.0,,1,quarta-feira,manhã,sbo
2025-08-20 13:46:00,FT,Qua,-1.0,0.5319979516585883,global_fallback,5.0,0.04,0.05,0.0,734.0,,"-0,5",quarta-feira,tarde,sing2
2025-08-20 14:19:00,FT,Qua,-1.0,0.5164108513174304,global_fallback,3.0,0.01,0.01,0.0,1720.0,,"+0,25",quarta-feira,tarde,sing2
2025-08-20 16:09:00,FT,Qua,0.51,0.526247500251327,global_fallback,4.0,0.02,0.02,0.0,1490.0,,"-0,5",quarta-feira,tarde,sing2
2025-08-20 16:31:00,FT,Qua,0.859,0.4285200295604155,global_fallback,9.0,0.05,0.08,0.00484131253362017,1513.0,,-1,quarta-feira,tarde,sing2
2025-08-20 16:58:00,FT,Qua,-1.0,0.5057493998945549,global_fallback,8.0,0.0,0.09,0.0,151.0,,"+0,5",quarta-feira,tarde,sing2
2025-08-20 19:55:00,FT,Qua,1.2109999999999999,0.48761664644488284,global_fallback,8.0,0.03,0.07,0.0,1204.0,,"+0,25",quarta-feira,noite,sbo
2025-08-21 00:58:00,FH,Qua,-0.5,0.4597174196908789,global_fallback,3.0,0.05,0.05,0.006352087114337674,1412.0,,"-0,25",quinta-feira,madrugada,sing2
2025-08-21 01:39:00,FH,Qua,0.5800000000000001,0.31124006915663877,global_fallback,2.0,0.09,0.04,0.006329113924050638,980.0,,0,quinta-feira,madrugada,sing2
2025-08-21 14:19:00,FH,Qui,1.17,0.4305582589351389,global_fallback,1.0,,0.0,0.0,1991.0,,"-0,25",quinta-feira,tarde,pin88
2025-08-21 14:21:00,FH,Qui,1.0979999999999999,0.421422551285813,global_fallback,2.0,0.08,0.04,0.002859866539561384,2859.0,,"-0,25",quinta-feira,tarde,sbo
2025-08-21 15:13:00,FH,Qui,-1.0,0.29493506340947945,global_fallback,4.0,0.01,0.04,0.003092783505154642,1697.0,,0,quinta-feira,tarde,sbo
2025-08-21 15:20:00,FT,Qui,-1.0,0.3361772516521158,global_fallback,9.0,0.02,0.05,0.1626666666666667,440.0,,1,quinta-feira,tarde,sbo
