thr,Tipo,DOW,oos_meanROI,oos_p,oos_n,bets_nov,stake_nov,profit_exp
0.2,FT,Sex,0.1044806629834254,0.0637297336611191,181,205,95855.0,10014.99395027624
0.5,FT,Sáb,0.1273561643835616,0.1190925470039208,73,79,67983.0,8658.054123287668
0.2,FT,Ter,0.1951475409836065,0.0086627833927676,122,86,42913.0,8374.366426229506
0.25,FH,Sáb,0.146912429378531,0.009843556114328,177,237,45109.0,6627.072776836155
0.5,FT,Seg,0.4590416666666666,0.0179058008563149,24,12,9592.0,4403.127666666666
0.7,FT,Qua,0.1297613636363636,0.1943976473248834,44,36,18299.0,2374.5031931818176
0.3,FH,Ter,0.2437076923076923,0.0075706297330617,65,44,8329.0,2029.841369230769
