q,Tipo,DOW_name,n,meanROI,folds
0.8,FT,Sex,84,0.1486789478021978,5
0.8,FT,Dom,63,0.019157251082251088,5
0.8,FT,Sáb,94,0.006936928104575174,5
0.85,FT,Sáb,73,0.23244926406926408,5
