class,top1_event_stake_share,top3_event_stake_share,top5_event_stake_share,top1_event_id,top1_bookmaker,top1_bookmaker_share,top3_bookmakers,top1_gain_event,top1_gain_pnl,top1_loss_event,top1_loss_pnl
FRIENDLY,0.10256410256410256,0.23076923076923078,0.3333333333333333,"2026-07-31,188,1467",pin88,0.5384615384615384,"pin88,pmk,sing2","2026-07-31,1072,31238",52.95,"2026-07-31,29,10062448",-50.0
NON_FRIENDLY,0.05714285714285714,0.17142857142857143,0.2857142857142857,"2026-07-31,117,140",pin88,0.6,"pin88,bf,4casters","2026-07-29,1621,1620",48.35,"2026-07-30,1662,1617",-50.0
