metric,FRIENDLY,NON_FRIENDLY,delta
odd_mediana,1.98,1.952,0.028000000000000025
slippage_mediana,-3.118393234672302,-0.6391347099311653,-2.4792585247411365
pre_submit_p50,1456.0,1262.0,194.0
pre_submit_p95,3237.0,4813.0,-1576.0
place_p50,,,
capacity_mediana,170.2474,200.6285,-30.381100000000004
