class,league,n,stake,pnl,roi,clv_closing_median,clv_coverage
NON_FRIENDLY,UEFA Europa League,5,50.0,-128.8,-3.22,-2.1094914877044513,0.8
NON_FRIENDLY,CONMEBOL Copa Sudamericana,2,20.0,-99.94999999999999,-4.9975,-1.0245901639344246,0.5
NON_FRIENDLY,Colombia Cup,4,40.0,90.39999999999999,2.26,,0.0
NON_FRIENDLY,UEFA Champions League,8,80.0,-71.44999999999999,-1.7862499999999997,,0.0
FRIENDLY,Club Friendly,39,390.0,-62.700000000000024,-0.16500000000000006,-2.700387843989599,0.15384615384615385
NON_FRIENDLY,Scotland Premier League,4,40.0,-3.1000000000000085,-0.15500000000000042,,0.0
NON_FRIENDLY,Paraguay Division 1 (Primera División),2,20.0,-1.499999999999993,-0.07499999999999965,0.4077471967380175,0.5
NON_FRIENDLY,USA Major League Soccer,8,80.0,,,,0.0
NON_FRIENDLY,Ecuador Serie A (Copa Pilsener),2,20.0,,,,0.0
