window,field,n,events,coverage,mean_obs,median_obs,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_mean_gt_0,p_median_gt_0
POST_5M,clv_post_5m,92,78,0.27794561933534745,-1.4522622851811753,-1.019756387403442,-1.8321090411001462,-1.084683267467816,-1.9049424160546073,-1.012769591642344,0.0,0.0
POST_15M,clv_post_15m,84,72,0.2537764350453172,-1.6785851597334696,-1.2817482590537832,-2.1643585797688623,-1.2160116530214455,-2.2595227396885607,-1.1301508529641318,0.0,0.0
CLOSING,clv_closing,95,80,0.28700906344410876,-1.9893724803000734,-1.7618793379604814,-2.714748044050162,-1.2895884965547322,-2.8592397787783894,-1.1546175555755112,0.0,6e-05
