window,n,events,roi,spearman,kendall,spearman_ci95_lo,spearman_ci95_hi,spearman_perm_p,clv_gt0_n,clv_gt0_roi,clv_le0_n,clv_le0_roi
POST_5M,81,68,-0.1296820809248555,0.12907254424928585,0.09609012591119948,-0.12543935939051284,0.3607950904070289,0.2538746125387461,8,0.16321428571428567,73,-0.18624137931034482
POST_15M,73,62,-0.11077639751552795,-0.0036985820968187294,0.009307972480777013,-0.24873705508867078,0.23730489146303946,0.9747025297470253,9,0.13396551724137928,64,-0.16454545454545455
CLOSING,90,76,-0.07252688172043013,0.24959899384339582,0.18392334309289327,0.039987388676528415,0.4350482578664636,0.014998500149985002,29,0.5223846153846153,61,-0.3921074380165289
