group,n,events,stake,pnl,roi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_gt_0,p_gt_0_05
FRIENDLY,135,107,654.0,-4.450000000000004,-0.0068042813455657545,-0.1295212765957447,0.12118384401114204,-0.15383495145631065,0.14597826086956522,0.46532,0.22793
NON_FRIENDLY,167,126,638.0,-21.510000000000005,-0.033714733542319755,-0.1625257731958763,0.0967878787878788,-0.18690031152647973,0.1214772727272727,0.33587,0.14539
DELTA_NF_MINUS_F,,,,,-0.026910452196754,-0.20815373106194487,0.1522870385606933,-0.24237230226949477,0.18634641638225255,0.40279,0.24044
