scenario,n,events,stake,pnl,roi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_gt_0
A_drop_top1_winning_event,301,232,1282.0,-36.86000000000001,-0.028751950078003127,-0.11743431221020095,0.06161940298507462,-0.13484962406015036,0.07918260869565216,0.29842
B_drop_top3_winning_events,299,230,1262.0,-57.970000000000006,-0.04593502377179081,-0.13382508833922263,0.04256514657980456,-0.150669014084507,0.05917094017094018,0.19791
C_drop_top5_winning_events,297,228,1242.0,-78.23,-0.06298711755233495,-0.14983771251931993,0.0255425219941349,-0.1670216306156406,0.04295386904761904,0.11962
D_drop_top1_positive_league,290,225,1236.0,-46.34000000000001,-0.03749190938511328,-0.12911585365853662,0.055436432637571136,-0.14633437990580847,0.07385964912280703,0.25172
E_drop_top3_positive_leagues,260,202,1080.0,-68.86000000000001,-0.06375925925925927,-0.15837686567164183,0.03271186440677966,-0.1761372549019608,0.05087254901960785,0.13607
