period,n,events,stake,pnl,roi,ci90_lo,ci90_hi,ci95_lo,ci95_hi,p_gt_0
desde_inicio,302,233,1292.0,-25.960000000000008,-0.02009287925696595,-0.10896468699839487,0.06962988826815643,-0.1260032102728732,0.08783783783783784,0.35636
ultimos_7d,110,89,220.0,2.6,0.011818181818181818,-0.11243243243243244,0.13642201834862383,-0.13640776699029125,0.1596116504854369,0.5677
ultimas_50_resolvidas,50,39,100.0,-3.66,-0.0366,-0.22184782608695652,0.14078431372549022,-0.25869565217391305,0.17528846153846153,0.36276
ultimas_100_resolvidas,100,81,200.0,4.51,0.02255,-0.10961538461538464,0.1535204081632653,-0.13484536082474224,0.17698979591836733,0.61344
