bin,n,pnl,stake,roi
|line|<=1,21,-4.890000000000004,210.0,-0.023285714285714305
1<|line|<=2,14,-46.82,140.0,-0.3344285714285714
2<|line|<=3,5,7.199999999999998,50.0,0.14399999999999996
|line|>3,12,-10.91,120.0,-0.09091666666666667
