ts,cum_pnl,dd,order_id
2026-07-28T15:30:25.309321+00:00,-9.97,-9.97,1931674091
2026-07-28T23:58:59.009030+00:00,-0.4300000000000015,-0.4300000000000015,1933822208
2026-07-29T04:00:51.513933+00:00,-10.420000000000002,-10.420000000000002,1934662052
2026-07-29T07:51:53.000127+00:00,-1.1300000000000026,-1.1300000000000026,1934994839
2026-07-29T08:28:28.900981+00:00,-11.100000000000003,-11.100000000000003,1935045057
2026-07-29T10:42:41.730156+00:00,-21.090000000000003,-21.090000000000003,1935402833
2026-07-29T10:59:25.391071+00:00,-31.080000000000005,-31.080000000000005,1935460146
2026-07-29T11:04:26.200252+00:00,-22.970000000000006,-22.970000000000006,1935475500
2026-07-29T11:28:10.704022+00:00,-13.520000000000007,-13.520000000000007,1935568718
2026-07-29T11:49:35.133640+00:00,-23.520000000000007,-23.520000000000007,1935642980
2026-07-29T12:11:53.027523+00:00,-33.02000000000001,-33.02000000000001,1935703108
2026-07-29T15:42:32.181242+00:00,-24.03000000000001,-24.03000000000001,1936401912
2026-07-29T16:23:30.244911+00:00,-16.410000000000007,-16.410000000000007,1936596042
2026-07-29T16:31:36.841850+00:00,-10.760000000000007,-10.760000000000007,1936637320
2026-07-29T16:48:59.271257+00:00,-6.050000000000007,-6.050000000000007,1936724778
2026-07-29T16:54:59.145778+00:00,-16.020000000000007,-16.020000000000007,1936750483
2026-07-29T17:39:07.730646+00:00,-25.440000000000005,-25.440000000000005,1936956073
2026-07-29T17:40:31.004337+00:00,-17.140000000000004,-17.140000000000004,1936961828
2026-07-29T17:41:00.541683+00:00,-6.850000000000005,-6.850000000000005,1936963700
2026-07-29T17:53:08.164033+00:00,1.8299999999999947,0.0,1937013393
2026-07-29T18:11:51.576684+00:00,-8.160000000000005,-9.99,1937095091
2026-07-29T20:18:14.945998+00:00,-18.130000000000003,-19.959999999999997,1937669560
2026-07-29T20:37:51.486287+00:00,-8.460000000000003,-10.289999999999997,1937747430
2026-07-29T22:21:51.539665+00:00,-3.8000000000000025,-5.629999999999997,1938082582
2026-07-30T04:00:17.656497+00:00,5.419999999999998,0.0,1939216476
2026-07-30T04:01:05.202427+00:00,9.559999999999999,0.0,1939218867
2026-07-30T04:01:06.049221+00:00,18.229999999999997,0.0,1939219764
2026-07-30T12:55:19.652400+00:00,8.229999999999997,-10.0,1940422731
2026-07-30T13:11:38.660147+00:00,-1.730000000000004,-19.96,1940500788
2026-07-30T14:38:35.945217+00:00,6.439999999999996,-11.790000000000001,1940764690
2026-07-30T15:52:08.669363+00:00,-3.520000000000005,-21.75,1941014331
2026-07-30T16:32:37.624430+00:00,-13.490000000000006,-31.720000000000002,1941229018
2026-07-30T18:52:55.667926+00:00,-23.460000000000008,-41.690000000000005,1941951294
2026-07-30T20:54:20.976500+00:00,-32.99000000000001,-51.220000000000006,1942475356
2026-07-30T21:29:51.104449+00:00,-27.570000000000007,-45.800000000000004,1942567698
2026-07-30T21:59:57.502808+00:00,-37.24000000000001,-55.470000000000006,1942652925
2026-07-30T22:22:13.645620+00:00,-26.72000000000001,-44.95,1942723628
2026-07-31T04:03:05.022825+00:00,-36.71000000000001,-54.940000000000005,1943764169
2026-07-31T06:52:11.139942+00:00,-41.71000000000001,-59.940000000000005,1944073458
2026-07-31T08:35:30.814220+00:00,-31.92000000000001,-50.150000000000006,1944274539
2026-07-31T08:39:35.818529+00:00,-41.91000000000001,-60.14000000000001,1944282514
2026-07-31T08:57:44.794772+00:00,-51.90000000000001,-70.13000000000001,1944320971
2026-07-31T09:13:46.483891+00:00,-61.890000000000015,-80.12,1944357831
2026-07-31T10:32:01.894481+00:00,-52.52000000000002,-70.75000000000001,1944546142
2026-07-31T15:45:40.272549+00:00,-41.93000000000002,-60.16000000000002,1945663746
2026-07-31T16:45:08.400945+00:00,-51.92000000000002,-70.15000000000002,1945975118
2026-07-31T17:06:53.210571+00:00,-61.78000000000002,-80.01000000000002,1946087546
2026-07-31T17:52:58.190513+00:00,-52.440000000000026,-70.67000000000002,1946336513
2026-07-31T18:00:32.623430+00:00,-43.310000000000024,-61.54000000000002,1946375329
2026-07-31T18:18:26.108905+00:00,-35.440000000000026,-53.67000000000002,1946470238
2026-07-31T18:26:40.685303+00:00,-45.42000000000003,-63.65000000000003,1946512460
2026-07-31T18:39:44.913760+00:00,-55.42000000000003,-73.65000000000003,1946584372
