bookmaker,n,pnl,stake,roi
pin88,27,-29.079999999999995,270.0,-0.10770370370370369
pmk,10,-26.979999999999997,100.0,-0.2698
bf,4,-20.230000000000004,40.0,-0.5057500000000001
4casters,2,-19.990000000000002,20.0,-0.9995
vx,2,-0.5999999999999996,20.0,-0.02999999999999998
sharp,1,7.62,10.0,0.762
sing2,3,8.129999999999999,30.0,0.27099999999999996
punter_io,1,9.54,10.0,0.954
sbo,2,16.17,20.0,0.8085000000000001
